chrom	start	end	weight
chr1_mat	0	50000	
chr1_mat	50000	100000	
chr1_mat	100000	150000	
chr1_mat	150000	200000	
chr1_mat	200000	250000	
chr1_mat	250000	300000	
chr1_mat	300000	350000	
chr1_mat	350000	400000	0.0128645
chr1_mat	400000	450000	0.0116222
chr1_mat	450000	500000	0.011517
chr1_mat	500000	550000	0.0110174
chr1_mat	550000	600000	0.010315
chr1_mat	600000	650000	0.00950277
chr1_mat	650000	700000	0.00720416
chr1_mat	700000	750000	0.0101435
chr1_mat	750000	800000	0.00929062
chr1_mat	800000	850000	0.0114077
chr1_mat	850000	900000	0.0126778
chr1_mat	900000	950000	0.012868
chr1_mat	950000	1000000	0.0120966
chr1_mat	1000000	1050000	0.00863988
chr1_mat	1050000	1100000	0.00686135
chr1_mat	1100000	1150000	0.0116929
chr1_mat	1150000	1200000	0.0139278
chr1_mat	1200000	1250000	0.0136002
chr1_mat	1250000	1300000	0.0133364
chr1_mat	1300000	1350000	0.0135422
chr1_mat	1350000	1400000	0.0147744
chr1_mat	1400000	1450000	0.0141682
chr1_mat	1450000	1500000	0.0127948
chr1_mat	1500000	1550000	0.0132541
chr1_mat	1550000	1600000	0.0126475
chr1_mat	1600000	1650000	0.0121702
chr1_mat	1650000	1700000	0.0127409
chr1_mat	1700000	1750000	0.012287
chr1_mat	1750000	1800000	0.0137394
chr1_mat	1800000	1850000	0.01278
chr1_mat	1850000	1900000	0.0123754
chr1_mat	1900000	1950000	0.0133195
chr1_mat	1950000	2000000	0.013423
chr1_mat	2000000	2050000	0.012992
chr1_mat	2050000	2100000	0.0126925
chr1_mat	2100000	2150000	0.0134424
chr1_mat	2150000	2200000	0.0120599
chr1_mat	2200000	2250000	0.0127463
chr1_mat	2250000	2300000	0.0134627
chr1_mat	2300000	2350000	0.0120566
chr1_mat	2350000	2400000	0.0119168
chr1_mat	2400000	2450000	0.0112033
chr1_mat	2450000	2500000	0.0121588
chr1_mat	2500000	2550000	0.0123062
chr1_mat	2550000	2600000	0.0133136
chr1_mat	2600000	2650000	0.0112755
chr1_mat	2650000	2700000	0.0128912
chr1_mat	2700000	2750000	0.0126852
chr1_mat	2750000	2800000	0.012734
chr1_mat	2800000	2850000	0.010522
chr1_mat	2850000	2900000	0.00955064
chr1_mat	2900000	2950000	0.0100933
chr1_mat	2950000	3000000	0.00799867
chr1_mat	3000000	3050000	0.00909922
