chr1A_mat	haplotype2-0000044_asm
chr1_mat	haplotype2-0000045_asm
chr2_mat	haplotype2-0001304_asm5-redo
chr3_mat	haplotype2-0001298
chr4A_mat	haplotype1-0000020_asm
chr4_mat	haplotype2-0000060_asm
chr5_mat	haplotype2-0000049_asm
chr6_mat	haplotype2-0000037_asm
chr7_mat	haplotype1-0000009_asm
chr8_mat	haplotype2-0001319_asm5-redo
chr9_mat	haplotype2-0000059_asm
chr10_mat	haplotype1-0000025_asm
chr11_mat	haplotype1-0000013_asm
chr12_mat	haplotype2-0000051_asm
chr13_mat	haplotype2-0000053_asm
chr14_mat	haplotype1-0000010_asm
chr15_mat	haplotype2-0000039_asm
chr16_mat	haplotype1-0000007_asm5-redo
chr17_mat	haplotype1-0000019_asm
chr18_mat	haplotype1-0000021_asm
chr19_mat	haplotype1-0000002_asm5-redo
chr20_mat	haplotype2-0000061_asm
chr21_mat	haplotype2-0000067_asm
chr22_mat	haplotype1-0000008
chr23_mat	haplotype1-0000018_asm
chr24_mat	haplotype1-0000011_asm
chr25_mat	haplotype2-0001322_asm5-redo
chr26_mat	haplotype2-0000052_asm
chr27_mat	haplotype2-0000064_asm
chr28_mat	haplotype1-0000033_asm
chr29_mat	haplotype2-0000036_asm
chr30_mat	haplotype2-0001307_asm5-redo
chr31_mat	haplotype2-0001336_asm5-redo
chr32_mat	haplotype1-0000035_asm5-redo_patchedw_h2tg000043l
chr33_mat	haplotype2-0001328_asm5-redo
chr34_mat	haplotype2-0001340_asm5-redo
chr35_mat	haplotype2-0001315_asm5-redo
chr36_mat	unassigned-0002857_asm5-redo
chr37_mat	haplotype1-0000023
chrW_mat	haplotype1-0000034_asm5-redo
chr1A_pat	haplotype1-0000014_asm
chr1_pat	haplotype1-0000015_asm
chr2_pat	haplotype2-0001305_asm5-redo
chr3_pat	haplotype1-0000001
chr4A_pat	haplotype2-0000065_asm
chr4_pat	haplotype1-0000030_asm
chr5_pat	haplotype1-0000016_asm
chr6_pat	haplotype1-0000004_asm
chr7_pat	haplotype2-0000038_asm
chr8_pat	haplotype1-0000018_asm5-redo
chr9_pat	haplotype1-0000028_asm
chr10_pat	haplotype2-0000055_asm
chr11_pat	haplotype2-0000043_asm
chr12_pat	haplotype1-0000022_asm
chr13_pat	haplotype1-0000023_asm
chr14_pat	haplotype2-0000041_asm
chr15_pat	haplotype1-0000007_asm
chr16_pat	haplotype1-0000031_asm5-redo
chr17_pat	haplotype2-0000063_asm
chr18_pat	haplotype2-0000050_asm
chr19_pat	haplotype2-0001318_asm5-redo
chr20_pat	haplotype1-0000031_asm
chr21_pat	haplotype1-0000035_asm
chr22_pat	haplotype2-0000054_asm
chr23_pat	haplotype2-0000047_asm
chr24_pat	haplotype2-0000048_asm
chr25_pat	haplotype1-0000027_asm
chr26_pat	haplotype1-0000002_asm
chr27_pat	haplotype1-0000029_asm
chr28_pat	haplotype2-0000062_asm
chr29_pat	haplotype1-0000001_asm
chr30_pat	haplotype1-0000012_asm5-redo
chr31_pat	haplotype1-0000005_asm5-redo
chr32_pat	haplotype2-0001332_asm5-redo
chr33_pat	haplotype2-0001327_asm5-redo
chr34_pat	haplotype1-0000038_asm5-redo_patchedw_h1tg000035l
chr35_pat	haplotype2-0001309
chr36_pat	unassigned-0002582_asm5-redo
chr37_pat	haplotype2-0001316
chrZ_pat	haplotype1-0000028_asm5-redo
