chrom	start	end	weight
chr1_mat	0	200000	
chr1_mat	200000	400000	
chr1_mat	400000	600000	0.00587071
chr1_mat	600000	800000	0.00458839
chr1_mat	800000	1000000	0.00629787
chr1_mat	1000000	1200000	0.00458588
chr1_mat	1200000	1400000	0.00721882
chr1_mat	1400000	1600000	0.00703226
chr1_mat	1600000	1800000	0.00674891
chr1_mat	1800000	2000000	0.00685978
chr1_mat	2000000	2200000	0.0067637
chr1_mat	2200000	2400000	0.00666965
chr1_mat	2400000	2600000	0.00651321
chr1_mat	2600000	2800000	0.00641584
chr1_mat	2800000	3000000	0.00486884
chr1_mat	3000000	3200000	0.00542477
chr1_mat	3200000	3400000	0.00630561
chr1_mat	3400000	3600000	0.00714811
chr1_mat	3600000	3800000	0.0068245
chr1_mat	3800000	4000000	0.00714747
chr1_mat	4000000	4200000	0.00609893
chr1_mat	4200000	4400000	0.00450587
chr1_mat	4400000	4600000	0.00482987
chr1_mat	4600000	4800000	0.00586948
chr1_mat	4800000	5000000	0.00553677
chr1_mat	5000000	5200000	0.00519167
chr1_mat	5200000	5400000	0.00595202
chr1_mat	5400000	5600000	0.00511708
chr1_mat	5600000	5800000	0.00634809
chr1_mat	5800000	6000000	0.00637143
chr1_mat	6000000	6200000	0.00632977
chr1_mat	6200000	6400000	0.0062514
chr1_mat	6400000	6600000	0.00610633
chr1_mat	6600000	6800000	0.00623427
chr1_mat	6800000	7000000	0.00606913
chr1_mat	7000000	7200000	0.00604166
chr1_mat	7200000	7400000	0.00618833
chr1_mat	7400000	7600000	0.00605627
chr1_mat	7600000	7800000	0.00631974
chr1_mat	7800000	8000000	0.00687005
chr1_mat	8000000	8200000	0.00640185
chr1_mat	8200000	8400000	0.00631993
chr1_mat	8400000	8600000	0.00606545
chr1_mat	8600000	8800000	0.00654515
chr1_mat	8800000	9000000	0.00622918
chr1_mat	9000000	9200000	0.00580163
chr1_mat	9200000	9400000	0.00640807
chr1_mat	9400000	9600000	0.00625876
chr1_mat	9600000	9800000	0.00610413
chr1_mat	9800000	10000000	0.0060074
chr1_mat	10000000	10200000	0.00657769
chr1_mat	10200000	10400000	0.006399
chr1_mat	10400000	10600000	0.00655153
