chrom	start	end	weight
chr1_pat	0	50000	
chr1_pat	50000	100000	
chr1_pat	100000	150000	
chr1_pat	150000	200000	
chr1_pat	200000	250000	
chr1_pat	250000	300000	
chr1_pat	300000	350000	
chr1_pat	350000	400000	
chr1_pat	400000	450000	
chr1_pat	450000	500000	
chr1_pat	500000	550000	
chr1_pat	550000	600000	
chr1_pat	600000	650000	
chr1_pat	650000	700000	
chr1_pat	700000	750000	
chr1_pat	750000	800000	
chr1_pat	800000	850000	
chr1_pat	850000	900000	
chr1_pat	900000	950000	
chr1_pat	950000	1000000	
chr1_pat	1000000	1050000	0.0308814
chr1_pat	1050000	1100000	0.0130595
chr1_pat	1100000	1150000	0.0210929
chr1_pat	1150000	1200000	0.0280387
chr1_pat	1200000	1250000	0.0250044
chr1_pat	1250000	1300000	0.025913
chr1_pat	1300000	1350000	0.0265286
chr1_pat	1350000	1400000	0.0305168
chr1_pat	1400000	1450000	0.0254493
chr1_pat	1450000	1500000	0.0254775
chr1_pat	1500000	1550000	0.0250373
chr1_pat	1550000	1600000	0.033401
chr1_pat	1600000	1650000	
chr1_pat	1650000	1700000	
chr1_pat	1700000	1750000	
chr1_pat	1750000	1800000	
chr1_pat	1800000	1850000	
chr1_pat	1850000	1900000	
chr1_pat	1900000	1950000	
chr1_pat	1950000	2000000	
chr1_pat	2000000	2050000	
chr1_pat	2050000	2100000	
chr1_pat	2100000	2150000	
chr1_pat	2150000	2200000	
chr1_pat	2200000	2250000	
chr1_pat	2250000	2300000	
chr1_pat	2300000	2350000	
chr1_pat	2350000	2400000	
chr1_pat	2400000	2450000	0.0435911
chr1_pat	2450000	2500000	0.0229821
chr1_pat	2500000	2550000	0.0220048
chr1_pat	2550000	2600000	0.0254441
chr1_pat	2600000	2650000	0.0215727
chr1_pat	2650000	2700000	0.022669
chr1_pat	2700000	2750000	0.0241717
chr1_pat	2750000	2800000	0.0212724
chr1_pat	2800000	2850000	0.0206649
chr1_pat	2850000	2900000	0.0163128
chr1_pat	2900000	2950000	0.0176788
chr1_pat	2950000	3000000	0.018432
chr1_pat	3000000	3050000	0.0160652
chr1_pat	3050000	3100000	0.0215138
chr1_pat	3100000	3150000	0.0175508
chr1_pat	3150000	3200000	0.0200088
chr1_pat	3200000	3250000	0.0170689
chr1_pat	3250000	3300000	0.0218792
chr1_pat	3300000	3350000	0.0227828
chr1_pat	3350000	3400000	0.0231914
chr1_pat	3400000	3450000	0.0233539
chr1_pat	3450000	3500000	0.0209986
chr1_pat	3500000	3550000	0.0244406
chr1_pat	3550000	3600000	0.024924
chr1_pat	3600000	3650000	0.0245215
chr1_pat	3650000	3700000	0.0252336
chr1_pat	3700000	3750000	0.0242956
chr1_pat	3750000	3800000	0.0248297
chr1_pat	3800000	3850000	0.0228321
chr1_pat	3850000	3900000	0.0271492
chr1_pat	3900000	3950000	0.0226047
chr1_pat	3950000	4000000	0.0238139
chr1_pat	4000000	4050000	0.021111
chr1_pat	4050000	4100000	0.0186512
chr1_pat	4100000	4150000	0.0207545
chr1_pat	4150000	4200000	0.0234274
chr1_pat	4200000	4250000	0.0173661
chr1_pat	4250000	4300000	0.0190219
chr1_pat	4300000	4350000	0.0174137
chr1_pat	4350000	4400000	0.0137709
chr1_pat	4400000	4450000	0.0143223
chr1_pat	4450000	4500000	0.0188051
chr1_pat	4500000	4550000	0.0167018
chr1_pat	4550000	4600000	0.0183714
chr1_pat	4600000	4650000	0.0228719
chr1_pat	4650000	4700000	0.0211078
chr1_pat	4700000	4750000	0.0208785
chr1_pat	4750000	4800000	0.0188777
chr1_pat	4800000	4850000	0.0138599
chr1_pat	4850000	4900000	0.0224008
chr1_pat	4900000	4950000	0.0226743
chr1_pat	4950000	5000000	0.0231011
chr1_pat	5000000	5050000	0.0211809
chr1_pat	5050000	5100000	0.0165834
chr1_pat	5100000	5150000	0.0154199
chr1_pat	5150000	5200000	0.0221311
chr1_pat	5200000	5250000	0.0234633
chr1_pat	5250000	5300000	0.0175836
chr1_pat	5300000	5350000	0.0165199
chr1_pat	5350000	5400000	0.0194614
chr1_pat	5400000	5450000	0.0157185
chr1_pat	5450000	5500000	0.0152712
chr1_pat	5500000	5550000	0.0183058
chr1_pat	5550000	5600000	0.0198592
chr1_pat	5600000	5650000	0.0195058
chr1_pat	5650000	5700000	0.021428
chr1_pat	5700000	5750000	0.0214345
chr1_pat	5750000	5800000	0.018695
chr1_pat	5800000	5850000	0.0197191
chr1_pat	5850000	5900000	0.0205292
chr1_pat	5900000	5950000	0.0200908
chr1_pat	5950000	6000000	0.0207287
chr1_pat	6000000	6050000	0.0207171
chr1_pat	6050000	6100000	0.0212149
chr1_pat	6100000	6150000	0.0201417
chr1_pat	6150000	6200000	0.0207813
chr1_pat	6200000	6250000	0.0210581
chr1_pat	6250000	6300000	0.0200257
chr1_pat	6300000	6350000	0.0219676
chr1_pat	6350000	6400000	0.0193635
chr1_pat	6400000	6450000	0.0203528
chr1_pat	6450000	6500000	0.0199212
chr1_pat	6500000	6550000	0.0198958
chr1_pat	6550000	6600000	0.0188671
chr1_pat	6600000	6650000	0.0204504
chr1_pat	6650000	6700000	0.0219777
chr1_pat	6700000	6750000	0.0202198
chr1_pat	6750000	6800000	0.0197671
chr1_pat	6800000	6850000	0.0211336
chr1_pat	6850000	6900000	0.0197699
chr1_pat	6900000	6950000	0.0200325
chr1_pat	6950000	7000000	0.018689
chr1_pat	7000000	7050000	0.0198983
chr1_pat	7050000	7100000	0.0193684
chr1_pat	7100000	7150000	0.0201104
chr1_pat	7150000	7200000	0.0190401
chr1_pat	7200000	7250000	0.0198752
chr1_pat	7250000	7300000	0.0208001
chr1_pat	7300000	7350000	0.0196103
chr1_pat	7350000	7400000	0.0202571
chr1_pat	7400000	7450000	0.0187944
chr1_pat	7450000	7500000	0.0194335
chr1_pat	7500000	7550000	0.0211124
chr1_pat	7550000	7600000	0.0190149
chr1_pat	7600000	7650000	0.0223692
chr1_pat	7650000	7700000	0.0217223
chr1_pat	7700000	7750000	0.024854
chr1_pat	7750000	7800000	0.0194417
chr1_pat	7800000	7850000	0.0225412
chr1_pat	7850000	7900000	0.023044
chr1_pat	7900000	7950000	0.0211986
chr1_pat	7950000	8000000	0.0230058
chr1_pat	8000000	8050000	0.0225005
chr1_pat	8050000	8100000	0.0231628
chr1_pat	8100000	8150000	0.0260247
chr1_pat	8150000	8200000	0.0212572
chr1_pat	8200000	8250000	0.0222632
chr1_pat	8250000	8300000	0.0218332
chr1_pat	8300000	8350000	0.0205033
chr1_pat	8350000	8400000	0.0241638
chr1_pat	8400000	8450000	0.021899
chr1_pat	8450000	8500000	0.0206017
chr1_pat	8500000	8550000	0.0204969
chr1_pat	8550000	8600000	0.0207004
chr1_pat	8600000	8650000	0.0257683
chr1_pat	8650000	8700000	0.0249539
chr1_pat	8700000	8750000	0.023367
chr1_pat	8750000	8800000	0.0229704
chr1_pat	8800000	8850000	0.0245386
chr1_pat	8850000	8900000	0.0232887
chr1_pat	8900000	8950000	0.0243554
chr1_pat	8950000	9000000	0.0225651
chr1_pat	9000000	9050000	0.0247342
chr1_pat	9050000	9100000	0.0168637
chr1_pat	9100000	9150000	0.021502
chr1_pat	9150000	9200000	0.0215862
chr1_pat	9200000	9250000	0.0232721
chr1_pat	9250000	9300000	0.0250899
chr1_pat	9300000	9350000	0.0207205
chr1_pat	9350000	9400000	0.0207333
chr1_pat	9400000	9450000	0.0233095
chr1_pat	9450000	9500000	0.0209186
chr1_pat	9500000	9550000	0.0219059
chr1_pat	9550000	9600000	0.0230637
chr1_pat	9600000	9650000	0.0261603
chr1_pat	9650000	9700000	0.0197969
chr1_pat	9700000	9750000	0.0221242
chr1_pat	9750000	9800000	0.020628
chr1_pat	9800000	9850000	0.0206208
chr1_pat	9850000	9900000	0.0225569
chr1_pat	9900000	9950000	0.0210187
chr1_pat	9950000	10000000	0.0219716
chr1_pat	10000000	10050000	0.0234222
chr1_pat	10050000	10100000	0.0268351
chr1_pat	10100000	10150000	0.0245698
chr1_pat	10150000	10200000	0.0247205
chr1_pat	10200000	10250000	0.0216227
chr1_pat	10250000	10300000	0.0222374
chr1_pat	10300000	10350000	0.023423
chr1_pat	10350000	10400000	0.0261985
chr1_pat	10400000	10450000	0.024368
chr1_pat	10450000	10500000	0.0255647
chr1_pat	10500000	10550000	0.0239233
chr1_pat	10550000	10600000	0.0218681
chr1_pat	10600000	10650000	0.0220202
chr1_pat	10650000	10700000	0.0219098
chr1_pat	10700000	10750000	0.0237959
chr1_pat	10750000	10800000	0.0223695
chr1_pat	10800000	10850000	0.0214703
chr1_pat	10850000	10900000	0.0227175
chr1_pat	10900000	10950000	0.0214791
chr1_pat	10950000	11000000	0.0193668
chr1_pat	11000000	11050000	0.0209909
chr1_pat	11050000	11100000	0.0214467
chr1_pat	11100000	11150000	0.0205375
chr1_pat	11150000	11200000	0.0258164
chr1_pat	11200000	11250000	0.0196085
chr1_pat	11250000	11300000	0.0218009
chr1_pat	11300000	11350000	0.0225555
chr1_pat	11350000	11400000	0.0185813
chr1_pat	11400000	11450000	0.0189917
chr1_pat	11450000	11500000	0.0202675
chr1_pat	11500000	11550000	0.0195278
chr1_pat	11550000	11600000	0.0212908
chr1_pat	11600000	11650000	0.0260335
chr1_pat	11650000	11700000	0.0233279
chr1_pat	11700000	11750000	0.0215128
chr1_pat	11750000	11800000	0.0238803
chr1_pat	11800000	11850000	0.0199271
chr1_pat	11850000	11900000	0.0209654
chr1_pat	11900000	11950000	0.0244113
chr1_pat	11950000	12000000	0.0218525
chr1_pat	12000000	12050000	0.022653
chr1_pat	12050000	12100000	0.0238652
chr1_pat	12100000	12150000	0.0243564
chr1_pat	12150000	12200000	0.0206702
