chrom	start	end	name	type	dist_716A	dist_191A
chr10_mat	1009969	1010319	Centromere_10_st_0.86	centromere	867529	19880049
chr10_mat	20634750	20635059	Distal_10_en_20.56	distal	20492310	255309
chr10_pat	947914	948234	Centromere_10_st_0.86	centromere	862844	19790680
chr10_pat	20483869	20484142	Distal_10_en_20.56	distal	20398799	254772
chr11_mat	20629399	20629812	Centromere_11_en_20.8	centromere	541949	3393789
chr11_mat	9983666	9983977	Distal_11_st_0.14	distal	11187784	7163429
chr11_pat	20646586	20646996	Centromere_11_en_20.8	centromere	542327	3371903
chr11_pat	9975626	9975937	Distal_11_st_0.14	distal	11213386	7158978
chr12_mat	19751365	19751761	Centromere_12_st_0.77	centromere	886208	878941
chr12_mat	3177080	3177094	Distal_12_en_20.79-R1	distal	17460875	17453608
chr12_pat	19652490	19652898	Centromere_12_st_0.77	centromere	880602	873335
chr12_pat	3184715	3184729	Distal_12_en_20.79-R1	distal	17348771	17341504
chr13_mat	15676016	15676353	Centromere_13_en_16.75	centromere	2686255	2316437
chr13_mat	10725813	10726202	Distal_13_st_0.37	distal	7636406	7266588
chr13_pat	15702405	15702766	Centromere_13_en_16.75	centromere	2453260	2387299
chr13_pat	10733609	10733984	Distal_13_st_0.37	distal	7422042	7356081
chr14_mat	15326786	15327149	Centromere_14_st_1.07	centromere	1035199	1032167
chr14_mat	998822	999207	Distal_14_en_15.44	distal	15363141	15360109
chr14_pat	15293824	15294170	Centromere_14_st_1.07	centromere	1036615	1035119
chr14_pat	988272	988654	Distal_14_en_15.44	distal	15342131	15340635
chr15_mat	668747	669044	Centromere_15_en_13.76	centromere	639654	637718
chr15_mat	13011289	13011796	Distal_15_st_0.88	distal	12982196	12980260
chr15_pat	677295	677598	Centromere_15_en_13.76	centromere	638430	637066
chr15_pat	13037690	13038243	Distal_15_st_0.88	distal	12998825	12997461
chr17_mat	880446	880832	Centromere_17_st_0.7	centromere	852740	3907549
chr17_mat	10847672	10847691	Distal_17_en_11.11-R	distal	10819966	6058389
chr17_pat	915278	915659	Centromere_17_st_0.7	centromere	888943	2295850
chr17_pat	10884877	10885320	Distal_17_en_11.11	distal	10858542	7672428
chr18_mat	873588	873905	Centromere_18_st_0.48	centromere	841301	731012
chr18_mat	10670493	10670831	Distal_18_en_10.64	distal	10638206	10527917
chr18_pat	888106	888442	Centromere_18_st_0.48	centromere	840677	731305
chr18_pat	10710963	10710982	Distal_18_en_10.64-F	distal	10663534	10554162
chr19_mat	10172179	10172512	Centromere_19_st_0.97	centromere	962138	10152299
chr19_mat	373586	374016	Distal_19_en_11.22	distal	10760634	353706
chr19_pat	10192049	10192388	Centromere_19_st_0.97	centromere	966181	10172169
chr19_pat	373586	374016	Distal_19_en_11.22	distal	10784553	353706
chr1A_mat	61252929	61253050	Centromere_1A_cen_62.53	centromere	1608092	1582623
chr1A_mat	1359579	1359904	Distal_1A_st_0.38	distal	58003518	58284933
chr1A_pat	61417076	61417213	Centromere_1A_cen_62.53	centromere	1608832	10823768
chr1A_pat	1331460	1331925	Distal_1A_st_0.38	distal	58129845	70909056
chr1_mat	18992390	18992743	Centromere_1_cen_98.17	centromere	1181670	7400514
chr1_mat	113951248	113951673	Distal_1_st_0.48	distal	93573738	87077024
chr1_pat	19015841	19016206	Centromere_1_cen_98.17	centromere	1299134	7492865
chr1_pat	114035845	114036274	Distal_1_st_0.48	distal	93623379	87101969
chr20_mat	2542771	2543025	Centromere_20_st_1.91	centromere	2311787	2250398
chr20_mat	15023459	15023703	Distal_20_en_15.24	distal	14792475	14731086
chr20_pat	2393556	2393817	Centromere_20_st_1.91	centromere	2351984	2285758
chr20_pat	14895887	14896125	Distal_20_en_15.24	distal	14854315	14788089
chr21_mat	5597951	5598209	Centromere_21_st_0.22	centromere	2369135	5491400
chr21_mat	291708	292120	Distal_21_en_5.8	distal	7675224	185157
chr21_pat	5578458	5578726	Centromere_21_st_0.22	centromere	2336464	5486830
chr21_pat	277818	277837	Distal_21_en_5.8-R	distal	7637353	186190
chr22_mat	514212	514507	Centromere_22_en_3.1	centromere	474725	4303394
chr22_mat	4671761	4672176	Distal_22_st_0.13	distal	4632274	145725
chr22_mat	1003029	1003313	Unknown_22_en_2.61	unknown	963542	3814588
chr22_pat	510617	510912	Centromere_22_en_3.1	centromere	480082	4457000
chr22_pat	4682431	4682851	Distal_22_st_0.13	distal	4651896	285061
chr22_pat	995950	996233	Unknown_22_en_2.61	unknown	965415	3971679
chr23_mat	6240818	6241078	Centromere_23_st_0.68	centromere	701941	6094831
chr23_mat	2058172	2058479	Distal_23_en_6.19	distal	4884540	1912185
chr23_pat	6247029	6247283	Centromere_23_st_0.68	centromere	699539	6101044
chr23_pat	2055826	2056141	Distal_23_en_6.19	distal	4890681	1909841
chr24_mat	1697052	1697455	Centromere_24_en_7.89	centromere	1667247	5979756
chr24_mat	7248602	7248970	Distal_24_st_0.41	distal	7218797	428241
chr24_pat	1696837	1697234	Centromere_24_en_7.89	centromere	1664634	5981372
chr24_pat	7250846	7251188	Distal_24_st_0.41	distal	7218643	427418
chr25_mat	5740345	5740772	Centromere_25_st_0.03	centromere	5251688	2235926
chr25_mat	7062369	7062520	Distal_25_en_1.22	distal	6573712	914178
chr25_pat	4356900	4357339	Centromere_25_st_0.03	centromere	4062375	2239451
chr25_pat	5685581	5685733	Distal_25_en_1.22	distal	5391056	911057
chr26_mat	5318516	5318535	Centromere_26_st_0.2-R	centromere	1545534	1939438
chr26_mat	2060973	2061371	Distal_26_en_4.78	distal	4802698	1316232
chr26_pat	1685610	1685966	Centromere_26_st_0.2	centromere	1642788	1348758
chr26_pat	4945687	4946112	Distal_26_en_4.78	distal	4902865	4608835
