chrom	start	end	weight
chr1_pat	0	20000	
chr1_pat	20000	40000	
chr1_pat	40000	60000	
chr1_pat	60000	80000	
chr1_pat	80000	100000	
chr1_pat	100000	120000	
chr1_pat	120000	140000	
chr1_pat	140000	160000	
chr1_pat	160000	180000	
chr1_pat	180000	200000	
chr1_pat	200000	220000	
chr1_pat	220000	240000	
chr1_pat	240000	260000	
chr1_pat	260000	280000	
chr1_pat	280000	300000	
chr1_pat	300000	320000	
chr1_pat	320000	340000	
chr1_pat	340000	360000	
chr1_pat	360000	380000	
chr1_pat	380000	400000	
chr1_pat	400000	420000	
chr1_pat	420000	440000	
chr1_pat	440000	460000	
chr1_pat	460000	480000	
chr1_pat	480000	500000	
chr1_pat	500000	520000	
chr1_pat	520000	540000	
chr1_pat	540000	560000	
chr1_pat	560000	580000	
chr1_pat	580000	600000	
chr1_pat	600000	620000	
chr1_pat	620000	640000	
chr1_pat	640000	660000	
chr1_pat	660000	680000	
chr1_pat	680000	700000	
chr1_pat	700000	720000	
chr1_pat	720000	740000	
chr1_pat	740000	760000	
chr1_pat	760000	780000	
chr1_pat	780000	800000	
chr1_pat	800000	820000	
chr1_pat	820000	840000	
chr1_pat	840000	860000	
chr1_pat	860000	880000	
chr1_pat	880000	900000	
chr1_pat	900000	920000	
chr1_pat	920000	940000	
chr1_pat	940000	960000	
chr1_pat	960000	980000	
chr1_pat	980000	1000000	
chr1_pat	1000000	1020000	
chr1_pat	1020000	1040000	0.0315133
chr1_pat	1040000	1060000	0.0200696
chr1_pat	1060000	1080000	0.0247196
chr1_pat	1080000	1100000	0.0188502
chr1_pat	1100000	1120000	0.0297358
chr1_pat	1120000	1140000	0.0373013
chr1_pat	1140000	1160000	0.0387301
chr1_pat	1160000	1180000	0.0425708
chr1_pat	1180000	1200000	0.0403243
chr1_pat	1200000	1220000	0.0394623
chr1_pat	1220000	1240000	0.0350054
chr1_pat	1240000	1260000	0.0427837
chr1_pat	1260000	1280000	0.0378164
chr1_pat	1280000	1300000	0.03709
chr1_pat	1300000	1320000	0.0427853
chr1_pat	1320000	1340000	0.0395751
chr1_pat	1340000	1360000	0.0392587
chr1_pat	1360000	1380000	0.0449572
chr1_pat	1380000	1400000	0.0520762
