chrom	start	end	name	eigval1	eigval2	eigval3
chr1_mat	0	115909749	chr1_mat	7312.089831024067	3038.415661819927	2543.139508215317
chr1A_mat	0	72089520	chr1A_mat	4654.321580613928	1920.5993730795396	1731.0464902104075
chr2_mat	0	152518735	chr2_mat	10161.884670292346	3959.507012833252	-3776.6427004285206
chr3_mat	0	115612305	chr3_mat	7174.387132347031	3001.5190472310505	2214.9584919111135
chr4_mat	0	73776267	chr4_mat	4341.206425123662	1776.4031575391705	1208.6261337649844
chr4A_mat	0	19545315	chr4A_mat	1093.5374526753938	480.6461969745869	255.5900206038014
chr5_mat	0	65033001	chr5_mat	3682.2941808814976	1478.069990773263	1283.7820222189544
chr6_mat	0	36968704	chr6_mat	2069.992132939808	801.4042492824498	426.6214471534667
chr7_mat	0	39422672	chr7_mat	2120.5329960333343	812.2470501227126	523.3562866636488
chr8_mat	0	32653297	chr8_mat	1818.5382253731764	728.3712161515585	451.37867998234753
chr9_mat	0	26132161	chr9_mat	1572.7898521252685	618.5662424180932	-284.64744702348275
chr10_mat	0	20920522	chr10_mat	1076.6395860471746	445.6629955151217	307.80684680914385
chr11_mat	0	21676805	chr11_mat	1313.4003042909974	512.5909215985971	-335.0890191102758
chr12_mat	0	20824288	chr12_mat	1131.3860539786376	464.49450563567626	-241.19779376841836
chr13_mat	0	18440361	chr13_mat	1108.03961280731	514.7525149723317	-263.32509365219465
chr14_mat	0	16411571	chr14_mat	941.8555478877512	434.3618340758827	-278.7416013124168
chr15_mat	0	13831355	chr15_mat	717.3907330361958	302.3972440681073	191.57447451376842
chr16_mat	0	5740876	chr16_mat	363.75077426060125	322.50808621936955	-321.4270753210087
chr17_mat	0	11378085	chr17_mat	561.4614123867725	361.30522081600236	-178.74558537131577
chr18_mat	0	11233222	chr18_mat	614.0650371604014	309.98452243575844	-195.01156490843027
chr19_mat	0	11169410	chr19_mat	557.272116517827	342.2752595499246	-204.00066766918613
chr20_mat	0	15459785	chr20_mat	834.9807681750057	357.9934530238644	-208.84401229074945
chr21_mat	0	8001925	chr21_mat	350.2182032918585	161.0293632514941	130.35641869283475
chr22_mat	0	5052704	chr22_mat	264.9449153531398	156.42789198111737	-92.3464645974096
chr23_mat	0	6987744	chr23_mat	363.1209125519928	204.02979872942473	-181.58664299139713
chr24_mat	0	7809384	chr24_mat	343.04694566022073	197.7499031117858	-130.62681996704163
chr25_mat	0	8199455	chr25_mat	468.9283274665945	413.49386918656876	-405.06848669536066
chr26_mat	0	6902691	chr26_mat	311.0322275824856	124.61002107799094	-99.1313993597925
chr27_mat	0	5843241	chr27_mat	257.93136917802406	150.4584350548934	-100.11584825907666
chr28_mat	0	6367150	chr28_mat	230.89662745779836	121.96931370021004	-83.14687658464949
chr29_mat	0	5689316	chr29_mat	186.9140812449869	-139.28716955914302	135.31130479926634
chr30_mat	0	10075530	chr30_mat	499.56410749076855	-387.3135896706291	360.87665539985187
chr31_mat	0	5620948	chr31_mat	292.2513740573312	-253.62287312660996	248.61605009732847
chr32_mat	0	5583733	chr32_mat	333.9298703178704	303.4993566601432	-269.45087695103877
chr33_mat	0	4246341	chr33_mat	266.66672428739673	-264.04353345360204	-255.79115819897743
chr34_mat	0	4456870	chr34_mat	-300.2296657586204	299.83282757510665	289.88710539497407
chr35_mat	0	4884911	chr35_mat	250.89612315897264	188.4551376790889	-185.12139794765378
chr36_mat	0	4818805	chr36_mat	301.9947473229109	-224.55101601386724	209.6376595195802
chr37_mat	0	7863776	chr37_mat	444.8860855275612	382.5839291781809	-373.30457859442424
chrW_mat	0	33777440	chrW_mat	1295.8708209857275	599.656715218076	-467.5983541337548
chrZ_pat	0	82218670	chrZ_pat	4849.285644495338	2115.5629074648627	1676.8260623552612
