chrom	start	end	name	eigval1	eigval2	eigval3
chr1_pat	0	115996361	chr1_pat	306.79095684389887	-99.70398460635994	89.63515240458818
chr1A_pat	0	72373967	chr1A_pat	193.3672311871113	-78.54090951106073	65.70594498820218
chr2_pat	0	152562993	chr2_pat	64.46515310739208	24.895968759173915	-24.211771091652004
chr3_pat	0	115134639	chr3_pat	275.1633096428902	-86.06445388168962	85.9977346329362
chr4_pat	0	73325478	chr4_pat	185.52548039022403	-46.49070695830321	46.37012605472902
chr4A_pat	0	19525173	chr4A_pat	42.3213240832617	11.423643292884604	9.397467287812075
chr5_pat	0	63896914	chr5_pat	150.8449521885804	-48.93306843064801	48.69846874080899
chr6_pat	0	37036084	chr6_pat	87.60540012940045	21.383715872713815	-18.267603339100464
chr7_pat	0	39386660	chr7_pat	85.73382570113188	22.91824197208372	-18.607826651032802
chr8_pat	0	32694906	chr8_pat	69.08824219968984	19.693493634441932	-14.337415330391021
chr9_pat	0	26241639	chr9_pat	62.35531155743005	14.844981601364163	-10.870648082989643
chr10_pat	0	20761298	chr10_pat	36.93252081430245	15.245455289680287	-11.007958655336475
chr11_pat	0	21694367	chr11_pat	46.41346544821668	18.11362548122191	-13.824051398187565
chr12_pat	0	20770244	chr12_pat	41.40428022125685	11.257295124848891	-8.696192027030976
chr13_pat	0	18838779	chr13_pat	42.227652207530866	11.924438807822462	-10.568108304870943
chr14_pat	0	16369598	chr14_pat	36.024530348740626	-12.972227271331885	11.714149981058215
chr15_pat	0	13859831	chr15_pat	23.932209150342693	7.505506140795465	6.879261509602059
chr16_pat	0	4801875	chr16_pat	10.394312938054547	-9.243005822617796	7.146537846885524
chr17_pat	0	11415815	chr17_pat	19.187389400024305	10.194346149375324	-7.170551783252843
chr18_pat	0	11267241	chr18_pat	21.105140725220785	8.940190825968	-6.91432971361951
chr19_pat	0	11183127	chr19_pat	9.809854047153053	-4.291968768127997	3.7601365410647465
chr20_pat	0	15338504	chr20_pat	27.03610747365141	8.609995524724551	-7.125969492397164
chr21_pat	0	7956264	chr21_pat	7.420619522964364	5.574863506660905	-4.232651613673929
chr22_pat	0	5320397	chr22_pat	4.549254999330147	-2.7427552310527235	-2.4773388513826924
chr23_pat	0	6983608	chr23_pat	12.364330023883976	-8.171012428535901	6.107143120640467
chr24_pat	0	7804404	chr24_pat	9.919325550152397	6.034793494954694	-4.814759993985799
chr25_pat	0	6891618	chr25_pat	19.595251776866288	-12.574051062316496	9.368865250673585
chr26_pat	0	7010313	chr26_pat	5.2845402085896005	-3.387442505409521	3.3521929761230354
chr27_pat	0	5914140	chr27_pat	7.910491042516127	4.929773572658115	-4.092784545289679
chr28_pat	0	6369381	chr28_pat	5.187421467139579	-2.897460371568084	2.0665577267353807
chr29_pat	0	6145158	chr29_pat	14.795045244777778	-11.14246488203233	8.241401868942685
chr30_pat	0	9417815	chr30_pat	19.55372343686119	-12.835753729409621	-8.40693769282377
chr31_pat	0	5343098	chr31_pat	-17.226027725212624	15.511510545373124	12.679649914136984
chr32_pat	0	5573168	chr32_pat	9.294347325030069	-9.08189510621657	6.575785094907373
chr33_pat	0	4788276	chr33_pat	10.22140264304111	-9.814990948786358	7.348384813116844
chr34_pat	0	5771162	chr34_pat	12.360530659428711	-11.182282184502233	8.462245636423695
chr35_pat	0	4908640	chr35_pat	6.987442524735492	-5.3550836217404365	-4.856271306225102
chr36_pat	0	5017237	chr36_pat	11.689017274252437	-7.82456048304485	-5.398487336739467
chr37_pat	0	5977964	chr37_pat	13.542430278094843	-10.72315607357352	8.114960031481237
chr1_mat	0	115909749	chr1_mat	302.55245102665896	-96.28203785289942	88.91149685289669
chr1A_mat	0	72089520	chr1A_mat	190.95031098483142	-76.56182838228362	66.26909281022084
chr2_mat	0	152518735	chr2_mat	65.36782050399559	-21.784517654925892	20.225909752411184
chr3_mat	0	115612305	chr3_mat	275.09738670369745	-88.68556114569421	87.35273579132598
chr4_mat	0	73776267	chr4_mat	188.7673962603849	47.35266938269365	-45.907174925149334
chr4A_mat	0	19545315	chr4A_mat	42.15735135195865	11.371471201674265	-9.79533538454721
chr5_mat	0	65033001	chr5_mat	149.8167331571766	-54.71515093932955	49.86962207699203
chr6_mat	0	36968704	chr6_mat	86.46701980834845	22.12405466769932	-17.437019729353302
chr7_mat	0	39422672	chr7_mat	82.644326179116	20.69899234315657	17.743709786290104
chr8_mat	0	32653297	chr8_mat	72.48089686615833	18.595720985847322	15.172383317745384
chr9_mat	0	26132161	chr9_mat	63.16426728373847	15.620231293622384	-10.950598826341494
chr10_mat	0	20920522	chr10_mat	35.6723336187237	15.407660751782803	-10.282506510031505
chr11_mat	0	21676805	chr11_mat	46.82890538716435	17.609876961451242	-13.771844778511849
chr12_mat	0	20824288	chr12_mat	40.621398360860844	11.536994939167514	-8.875214714424233
chr13_mat	0	18440361	chr13_mat	42.32049158202117	12.053946845153327	-10.86043499957892
chr14_mat	0	16411571	chr14_mat	37.05971540627214	-12.854900876001611	12.650410529117382
chr15_mat	0	13831355	chr15_mat	22.857873051953934	7.962160183348061	-6.001851441019175
chr16_mat	0	5740876	chr16_mat	17.10786526138534	-10.632176890862072	7.746544986150696
chr17_mat	0	11378085	chr17_mat	21.22224437249181	10.29092646756459	-6.418764412691829
chr18_mat	0	11233222	chr18_mat	21.01365604248247	7.493055404330875	-7.0417892162703835
chr19_mat	0	11169410	chr19_mat	9.420503878195317	4.032505032390866	-3.7861943857658003
chr20_mat	0	15459785	chr20_mat	27.330690501886078	8.504867614048214	-7.1737499282728585
chr21_mat	0	8001925	chr21_mat	8.168659684996197	5.679372801711052	-4.471808775537813
chr22_mat	0	5052704	chr22_mat	4.050285311759856	-2.8015753455208623	-2.2099288012313316
chr23_mat	0	6987744	chr23_mat	12.675651449511623	-8.360963092582814	6.046467120698556
chr24_mat	0	7809384	chr24_mat	9.294301822778017	5.952161621656312	-5.068438114461022
chr25_mat	0	8199455	chr25_mat	23.169965047324126	-15.127431849016812	14.125533651884275
chr26_mat	0	6902691	chr26_mat	5.208219843937837	2.9481540902732672	-2.8850070971403317
chr27_mat	0	5843241	chr27_mat	8.20610384583614	4.440328488685496	-4.3173869645602085
chr28_mat	0	6367150	chr28_mat	4.831761290997196	-2.8003575635748454	2.3825149273777124
chr29_mat	0	5689316	chr29_mat	10.605607847145443	-10.28283822608348	6.544802274439446
chr30_mat	0	10075530	chr30_mat	20.12725231027337	-14.048792337546198	9.567087796553805
chr31_mat	0	5620948	chr31_mat	-14.531666109431754	13.568201448995607	11.28344724156028
chr32_mat	0	5583733	chr32_mat	5.932623982958988	5.607179968705949	-5.10827040610999
chr33_mat	0	4246341	chr33_mat	6.064340012934165	-5.703288116299775	3.7085847526985343
chr34_mat	0	4456870	chr34_mat	-6.504328434483986	6.448463526050379	4.898395450071845
chr35_mat	0	4884911	chr35_mat	1.1498351541706706	-1.0294682093176568	-0.9605318259560941
chr36_mat	0	4818805	chr36_mat	12.027126896516776	-7.880849914741543	-5.5413299427922755
chr37_mat	0	7863776	chr37_mat	17.797177725877575	-12.079000963953138	-6.525927345639264
chrW_mat	0	33777440	chrW_mat	57.106893071377364	19.230503937584214	-13.515649360925183
chrZ_pat	0	82218670	chrZ_pat	207.9624895663217	64.35912843765999	-51.41995383048426
