Idx	Name	Size	Chr_type	Classification_size	Dot	TCHEST
1	chr1_pat	115996361	Submetacentric	Macro	FALSE	Absent
2	chr1A_pat	72373967	Submetacentric	Macro	FALSE	Absent
3	chr2_pat	152562993	Submetacentric	Macro	FALSE	Absent
4	chr3_pat	115134639	Submetacentric	Macro	FALSE	Absent
5	chr4_pat	73325478	Submetacentric	Macro	FALSE	Absent
6	chr4A_pat	19525173	Telocentric	Micro	FALSE	Relaxed
7	chr5_pat	63896914	Submetacentric	Macro	FALSE	Absent
8	chr6_pat	37036084	Telocentric	Macro	FALSE	Absent
9	chr7_pat	39386660	Submetacentric	Macro	FALSE	Absent
10	chr8_pat	32694906	Submetacentric	Macro	FALSE	Absent
11	chr9_pat	26241639	Telocentric	Micro	FALSE	Relaxed
12	chr10_pat	20761298	Telocentric	Micro	FALSE	Relaxed
13	chr11_pat	21694367	Telocentric	Micro	FALSE	Relaxed
14	chr12_pat	20770244	Telocentric	Micro	FALSE	Relaxed
15	chr13_pat	18838779	Telocentric	Micro	FALSE	Relaxed
16	chr14_pat	16369598	Telocentric	Micro	FALSE	Relaxed
17	chr15_pat	13859831	Telocentric	Micro	FALSE	Relaxed
18	chr16_pat	4801875	Telocentric	Micro	TRUE	Strict
19	chr17_pat	11415815	Telocentric	Micro	FALSE	Relaxed
20	chr18_pat	11267241	Telocentric	Micro	FALSE	Relaxed
21	chr19_pat	11183127	Telocentric	Micro	FALSE	Relaxed
22	chr20_pat	15338504	Telocentric	Micro	FALSE	Relaxed
23	chr21_pat	7956264	Telocentric	Micro	FALSE	Relaxed
24	chr22_pat	5320397	Telocentric	Micro	FALSE	Relaxed
25	chr23_pat	6983608	Telocentric	Micro	FALSE	Relaxed
26	chr24_pat	7804404	Telocentric	Micro	FALSE	Relaxed
27	chr25_pat	6891618	Telocentric	Micro	TRUE	Strict
28	chr26_pat	7010313	Telocentric	Micro	FALSE	Relaxed
29	chr27_pat	5914140	Telocentric	Micro	FALSE	Relaxed
30	chr28_pat	6369381	Telocentric	Micro	FALSE	Relaxed
31	chr29_pat	6145158	Telocentric	Micro	TRUE	Strict
32	chr30_pat	9417815	Telocentric	Micro	TRUE	Strict
33	chr31_pat	5343098	Telocentric	Micro	TRUE	Strict
34	chr32_pat	5573168	Telocentric	Micro	TRUE	Strict
35	chr33_pat	4788276	Telocentric	Micro	TRUE	Strict
36	chr34_pat	5771162	Telocentric	Micro	TRUE	Strict
37	chr35_pat	4908640	Telocentric	Micro	TRUE	Strict
38	chr36_pat	5017237	Telocentric	Micro	TRUE	Strict
39	chr37_pat	5877964	Telocentric	Micro	TRUE	Strict
40	chr1_mat	115909749	Submetacentric	Macro	FALSE	Absent
41	chr1A_mat	72089520	Submetacentric	Macro	FALSE	Absent
42	chr2_mat	152518735	Submetacentric	Macro	FALSE	Absent
43	chr3_mat	115612305	Submetacentric	Macro	FALSE	Absent
44	chr4_mat	73776267	Submetacentric	Macro	FALSE	Absent
45	chr4A_mat	19545315	Telocentric	Micro	FALSE	Relaxed
46	chr5_mat	65033001	Acrocentric	Macro	FALSE	Absent
47	chr6_mat	36968704	Telocentric	Macro	FALSE	Absent
48	chr7_mat	39422672	Submetacentric	Macro	FALSE	Absent
49	chr8_mat	32653297	Submetacentric	Macro	FALSE	Absent
50	chr9_mat	26132161	Telocentric	Micro	FALSE	Relaxed
51	chr10_mat	20920522	Telocentric	Micro	FALSE	Relaxed
52	chr11_mat	21676805	Telocentric	Micro	FALSE	Relaxed
53	chr12_mat	20824288	Telocentric	Micro	FALSE	Relaxed
54	chr13_mat	18440361	Telocentric	Micro	FALSE	Relaxed
55	chr14_mat	16411571	Telocentric	Micro	FALSE	Relaxed
56	chr15_mat	13831355	Telocentric	Micro	FALSE	Relaxed
57	chr16_mat	5740876	Telocentric	Micro	TRUE	Strict
58	chr17_mat	11378085	Telocentric	Micro	FALSE	Relaxed
59	chr18_mat	11233222	Telocentric	Micro	FALSE	Relaxed
60	chr19_mat	11169410	Telocentric	Micro	FALSE	Relaxed
61	chr20_mat	15459785	Telocentric	Micro	FALSE	Relaxed
62	chr21_mat	8001925	Telocentric	Micro	FALSE	Relaxed
63	chr22_mat	5052704	Telocentric	Micro	FALSE	Relaxed
64	chr23_mat	6987744	Telocentric	Micro	FALSE	Relaxed
65	chr24_mat	7809384	Telocentric	Micro	FALSE	Relaxed
66	chr25_mat	8199455	Telocentric	Micro	TRUE	Strict
67	chr26_mat	6902691	Telocentric	Micro	FALSE	Relaxed
68	chr27_mat	5843241	Telocentric	Micro	FALSE	Relaxed
69	chr28_mat	6367150	Telocentric	Micro	FALSE	Relaxed
70	chr29_mat	5689316	Telocentric	Micro	TRUE	Strict
71	chr30_mat	10075530	Telocentric	Micro	TRUE	Strict
72	chr31_mat	5620948	Telocentric	Micro	TRUE	Strict
73	chr32_mat	5583733	Telocentric	Micro	TRUE	Strict
74	chr33_mat	4246341	Telocentric	Micro	TRUE	Strict
75	chr34_mat	4456870	Telocentric	Micro	TRUE	Strict
76	chr35_mat	4884911	Telocentric	Micro	TRUE	Strict
77	chr36_mat	4818805	Telocentric	Micro	TRUE	Strict
78	chr37_mat	7763776	Telocentric	Micro	TRUE	Strict
79	chrW_mat	33777440	Acrocentric	Macro	FALSE	Absent
80	chrZ_pat	82003670	Submetacentric	Macro	FALSE	Absent
