chrom	start	end	weight
chr1_pat	0	20000	
chr1_pat	20000	40000	
chr1_pat	40000	60000	
chr1_pat	60000	80000	
chr1_pat	80000	100000	
chr1_pat	100000	120000	
chr1_pat	120000	140000	
chr1_pat	140000	160000	
chr1_pat	160000	180000	
chr1_pat	180000	200000	
chr1_pat	200000	220000	
chr1_pat	220000	240000	
chr1_pat	240000	260000	
chr1_pat	260000	280000	
chr1_pat	280000	300000	
chr1_pat	300000	320000	
chr1_pat	320000	340000	
chr1_pat	340000	360000	
chr1_pat	360000	380000	0.018645
chr1_pat	380000	400000	0.0190255
chr1_pat	400000	420000	0.0173524
chr1_pat	420000	440000	0.0177367
chr1_pat	440000	460000	0.0185772
chr1_pat	460000	480000	0.0192483
chr1_pat	480000	500000	0.0154671
chr1_pat	500000	520000	0.0167157
chr1_pat	520000	540000	0.0162075
chr1_pat	540000	560000	0.0164406
chr1_pat	560000	580000	0.0159893
chr1_pat	580000	600000	0.0142885
chr1_pat	600000	620000	0.0173753
chr1_pat	620000	640000	0.0139451
chr1_pat	640000	660000	0.0116393
chr1_pat	660000	680000	0.0114704
chr1_pat	680000	700000	0.01104
chr1_pat	700000	720000	0.0132326
chr1_pat	720000	740000	0.0158551
chr1_pat	740000	760000	0.0190922
chr1_pat	760000	780000	0.0175389
chr1_pat	780000	800000	0.0124829
chr1_pat	800000	820000	0.0145305
chr1_pat	820000	840000	0.0174669
chr1_pat	840000	860000	0.0201677
chr1_pat	860000	880000	0.0196678
chr1_pat	880000	900000	0.0182681
chr1_pat	900000	920000	0.0180484
chr1_pat	920000	940000	0.0204596
chr1_pat	940000	960000	0.0193364
chr1_pat	960000	980000	0.020061
chr1_pat	980000	1000000	0.0185851
chr1_pat	1000000	1020000	0.0169912
chr1_pat	1020000	1040000	0.013881
chr1_pat	1040000	1060000	0.0102317
chr1_pat	1060000	1080000	0.0130253
chr1_pat	1080000	1100000	0.00954497
chr1_pat	1100000	1120000	0.0151821
chr1_pat	1120000	1140000	0.0191441
chr1_pat	1140000	1160000	0.0202105
chr1_pat	1160000	1180000	0.0205575
chr1_pat	1180000	1200000	0.0220443
chr1_pat	1200000	1220000	0.0205344
chr1_pat	1220000	1240000	0.019907
