chrom	start	end	name	eigval1	eigval2	eigval3
chr1_pat	0	115996361	chr1_pat	1453.7064038902524	510.1505703578257	-418.33378219180946
chr1A_pat	0	72373967	chr1A_pat	917.0072718625827	-330.15857397918785	319.8691871405505
chr2_pat	0	152562993	chr2_pat	1959.8756002577745	-705.2829240860347	639.3719338483853
chr3_pat	0	115134639	chr3_pat	1388.1147995714834	492.5299304702371	420.0460560660203
chr4_pat	0	73325478	chr4_pat	856.9382634131299	295.2764004336517	190.00286358525995
chr4A_pat	0	19525173	chr4A_pat	214.25486782344404	78.49887269364716	43.14916676452671
chr5_pat	0	63896914	chr5_pat	736.1501585610607	249.76882735371325	235.60247044941138
chr6_pat	0	37036084	chr6_pat	407.5331766815306	132.23629488595654	74.56505223291045
chr7_pat	0	39386660	chr7_pat	413.9727173229095	133.3514204424788	89.82446453566551
chr8_pat	0	32694906	chr8_pat	353.68707304997247	121.56355173279294	78.88468290235353
chr9_pat	0	26241639	chr9_pat	310.1383098095608	99.29858122056989	-46.46047613362679
chr10_pat	0	20761298	chr10_pat	203.60732358395947	73.92309875081432	53.14657787109332
chr11_pat	0	21694367	chr11_pat	258.21695317991396	90.28878003675409	-59.78254919718468
chr12_pat	0	20770244	chr12_pat	219.02669402113023	73.10987397619252	-38.8334271908069
chr13_pat	0	18838779	chr13_pat	218.0933650131108	85.74300986169429	-46.948215711096395
chr14_pat	0	16369598	chr14_pat	181.9077759562865	71.62213069458127	-51.05575874109054
chr15_pat	0	13859831	chr15_pat	133.8811465559026	46.57286073438873	31.131922805589678
chr16_pat	0	4801875	chr16_pat	56.692393655171024	-48.10610977156799	31.94944135933221
chr17_pat	0	11415815	chr17_pat	106.12736919053091	61.60927749128328	-30.354837702382206
chr18_pat	0	11267241	chr18_pat	117.59544466045914	52.50293335331777	-35.2816840615258
chr19_pat	0	11183127	chr19_pat	105.3882884804302	57.55773806315731	-36.30119201528751
chr20_pat	0	15338504	chr20_pat	162.062053264647	58.29770085043402	-35.644306014363465
chr21_pat	0	7956264	chr21_pat	61.45579998573036	26.07892501113471	20.010932007854283
chr22_pat	0	5320397	chr22_pat	49.597907241415484	24.87385868666135	-16.99931258478308
chr23_pat	0	6983608	chr23_pat	69.00360339639792	-34.33551970921707	32.77585715286651
chr24_pat	0	7804404	chr24_pat	66.75313305237164	34.898899099750956	-21.841704338570715
chr25_pat	0	6891618	chr25_pat	83.47620766912038	-51.88872777832944	-42.54172386835319
chr26_pat	0	7010313	chr26_pat	54.65896863256659	17.633589207727887	-14.096370320324427
chr27_pat	0	5914140	chr27_pat	43.758283193236544	23.50654181637993	-16.169172784740017
chr28_pat	0	6369381	chr28_pat	35.33903367258075	22.529048112735303	-14.295097687030513
chr29_pat	0	6145158	chr29_pat	50.31751418576622	-38.55172929077602	35.81281379276778
chr30_pat	0	9417815	chr30_pat	86.59644607409948	-60.54226551575194	40.73318610234906
chr31_pat	0	5343098	chr31_pat	-67.83663741708025	63.52724748759046	53.66467054932293
chr32_pat	0	5573168	chr32_pat	62.03206954175686	-48.34996118182075	34.13710396885558
chr33_pat	0	4788276	chr33_pat	42.68872310377549	-40.60337262390094	33.02211323798903
chr34_pat	0	5771162	chr34_pat	-58.56488509920787	58.099596810160094	44.95438768160992
chr35_pat	0	4908640	chr35_pat	45.58898687616096	-30.432536474912766	26.657787608013805
chr36_pat	0	5017237	chr36_pat	54.670020470882974	-37.560750681899556	27.037017146131298
chr37_pat	0	5977964	chr37_pat	58.015210099792405	-43.28261334008028	39.70433646581724
chrW_mat	0	33777440	chrW_mat	252.95834164567896	94.41042358869309	-49.04907027829677
chrZ_pat	0	82218670	chrZ_pat	958.3909333977995	352.2623390453134	261.80256392184896
