chrom	start	end	name	eigval1	eigval2	eigval3
chr1_pat	0	115996361	chr1_pat	3744.230250032306	1481.9866238106317	-1142.1774005154475
chr1A_pat	0	72373967	chr1A_pat	2346.0375363748453	927.6343928401656	-859.7924731122874
chr2_pat	0	152562993	chr2_pat	5072.8305258424925	1874.1195090048232	-1843.7642330986093
chr3_pat	0	115134639	chr3_pat	3580.054380818398	1421.3629792747545	1078.5895167439928
chr4_pat	0	73325478	chr4_pat	2179.7481436243065	849.7299209519512	521.0744769356573
chr4A_pat	0	19525173	chr4A_pat	546.1215914196337	227.08508741820668	116.50783198902329
chr5_pat	0	63896914	chr5_pat	1901.5135829579565	725.5577855056825	619.5350518552361
chr6_pat	0	37036084	chr6_pat	1037.8986581056622	380.3904430001629	199.4534431175686
chr7_pat	0	39386660	chr7_pat	1057.8271842745546	385.7798822946074	241.4722025930609
chr8_pat	0	32694906	chr8_pat	909.3443844311868	347.40087403824606	211.9325343496443
chr9_pat	0	26241639	chr9_pat	786.1852571138027	294.589966431632	126.61709824714754
chr10_pat	0	20761298	chr10_pat	537.9743242275835	210.34674063694507	146.27178099475802
chr11_pat	0	21694367	chr11_pat	656.7610627589181	245.15077339207633	-156.92891976951398
chr12_pat	0	20770244	chr12_pat	563.0738893270058	219.21474950748316	-106.41227689511115
chr13_pat	0	18838779	chr13_pat	555.1628685100937	245.95723017744436	-123.46942888512365
chr14_pat	0	16369598	chr14_pat	467.6534880087655	205.03112438390818	-132.24917865136422
chr15_pat	0	13859831	chr15_pat	354.851307036316	139.21593986713737	87.01413177271644
chr16_pat	0	4801875	chr16_pat	149.7088981993025	-139.15871253760557	101.78137181206398
chr17_pat	0	11415815	chr17_pat	278.0445597442461	171.33162780005787	-81.69372237388993
chr18_pat	0	11267241	chr18_pat	306.10964934563896	149.19420836235273	-91.66619868683416
chr19_pat	0	11183127	chr19_pat	274.49854378262404	161.93495895636116	-95.442102376296
chr20_pat	0	15338504	chr20_pat	416.2844765148393	168.814937682061	-95.823971255569
chr21_pat	0	7956264	chr21_pat	169.76078006651133	72.81659311194105	56.73536301117007
chr22_pat	0	5320397	chr22_pat	132.90098851653102	73.26621531475595	-43.642613966657485
chr23_pat	0	6983608	chr23_pat	178.47361720174456	93.45343508210318	-86.12084645455697
chr24_pat	0	7804404	chr24_pat	170.0876264826395	93.71207959649595	-58.1601123699169
chr25_pat	0	6891618	chr25_pat	219.44509594705352	-153.6440271335682	-145.3986824713463
chr26_pat	0	7010313	chr26_pat	150.46176856640642	53.83429760227947	-40.37654270736388
chr27_pat	0	5914140	chr27_pat	121.71445743562913	67.18845930929412	-43.30229311940248
chr28_pat	0	6369381	chr28_pat	109.71539206014795	60.73265709986288	-38.62885403269285
chr29_pat	0	6145158	chr29_pat	142.66600811001587	124.98958612992432	-118.96431663014884
chr30_pat	0	9417815	chr30_pat	224.95985683260471	-157.43582534360104	142.20141832399642
chr31_pat	0	5343098	chr31_pat	198.64570324192562	-194.81703867965376	-193.02764099056176
chr32_pat	0	5573168	chr32_pat	160.7003195361849	-133.64924805182866	105.91320870804142
chr33_pat	0	4788276	chr33_pat	146.23616590122214	-146.11595388943397	-131.70636199981033
chr34_pat	0	5771162	chr34_pat	153.43011716787265	-139.37723166267548	135.2091404992598
chr35_pat	0	4908640	chr35_pat	122.88098903128817	-89.20445477957396	82.89419427593826
chr36_pat	0	5017237	chr36_pat	143.67813580526993	-106.17104283102903	95.98439868911478
chr37_pat	0	5977964	chr37_pat	157.4559062377253	-136.19910766740088	131.42989062553286
chrW_mat	0	33777440	chrW_mat	649.2422486258594	275.73876912008	171.03390202817414
chrZ_pat	0	82218670	chrZ_pat	2438.725999516069	1005.1319692516031	737.5497967776267
