chrom	start	end	name	eigval1	eigval2	eigval3
chr1_mat	0	115909749	chr1_mat	685.6872057203072	210.04822036023262	-197.6481713929187
chr1A_mat	0	72089520	chr1A_mat	434.47734916156213	-162.60470811702226	138.60505642584374
chr2_mat	0	152518735	chr2_mat	918.8940230813979	-343.5159072114344	290.5438419939173
chr3_mat	0	115612305	chr3_mat	647.6311851081662	206.69749179120433	197.28122305923551
chr4_mat	0	73776267	chr4_mat	409.89360044195723	115.6027051192298	-91.56171034114253
chr4A_mat	0	19545315	chr4A_mat	100.8918251280939	32.65226249038636	20.667322426622505
chr5_mat	0	65033001	chr5_mat	334.79487817893073	-105.26210230947937	102.84694789405278
chr6_mat	0	36968704	chr6_mat	194.51223054692113	53.55639873647448	-34.421016569715874
chr7_mat	0	39422672	chr7_mat	192.9165747407191	55.4572055519427	42.33107393323497
chr8_mat	0	32653297	chr8_mat	168.9798679849868	50.31644370375428	36.00578566525133
chr9_mat	0	26132161	chr9_mat	148.66124609778723	41.464923399991754	-22.46217122236269
chr10_mat	0	20920522	chr10_mat	89.26963874842235	33.02970700449848	21.843402876548957
chr11_mat	0	21676805	chr11_mat	124.48965515225463	41.56151433809602	-30.38579047990219
chr12_mat	0	20824288	chr12_mat	102.05469805925013	29.637474875088287	-18.370949049297888
chr13_mat	0	18440361	chr13_mat	102.85196994106501	34.745653192696054	-22.441586190016448
chr14_mat	0	16411571	chr14_mat	85.60261263449645	31.019373551073976	-25.114102286160975
chr15_mat	0	13831355	chr15_mat	58.107330908120865	18.628181958556194	14.023937840084136
chr16_mat	0	5740876	chr16_mat	32.575789473074764	-21.260319579591208	12.511004459808518
chr17_mat	0	11378085	chr17_mat	48.5403193569867	27.49183107665481	-14.906144350452116
chr18_mat	0	11233222	chr18_mat	55.500398756257304	22.788140167760954	-17.25202422509799
chr19_mat	0	11169410	chr19_mat	47.04391276142992	24.24820473960295	-17.896855589981683
chr20_mat	0	15459785	chr20_mat	74.36656199667986	24.561922743548745	-16.98761488460569
chr21_mat	0	8001925	chr21_mat	25.66929066819406	11.800724223612	8.918401276902701
chr22_mat	0	5052704	chr22_mat	21.279995214699362	9.664832414464104	-8.257217637307823
chr23_mat	0	6987744	chr23_mat	31.59969531685458	-16.718891711029034	14.3943336455527
chr24_mat	0	7809384	chr24_mat	30.44216323787854	16.646603140745686	-11.127222146312656
chr25_mat	0	8199455	chr25_mat	43.32449378703707	30.31232145739418	-27.054056127295453
chr26_mat	0	6902691	chr26_mat	20.252941851682092	7.630895208507381	-6.588925572323825
chr27_mat	0	5843241	chr27_mat	15.883999422276375	10.20790567602273	-7.824469468185925
chr28_mat	0	6367150	chr28_mat	12.675071990459461	8.641979815129213	-6.817112639413282
chr29_mat	0	5689316	chr29_mat	8.412560789798528	-5.239292240641127	4.343178611401408
chr30_mat	0	10075530	chr30_mat	46.42958604398224	-32.02598647910089	21.210497601969237
chr31_mat	0	5620948	chr31_mat	-28.556537536643965	28.14721347567614	18.669411093420297
chr32_mat	0	5583733	chr32_mat	26.865745357810518	-20.66895404630777	18.25435034234784
chr33_mat	0	4246341	chr33_mat	15.82182033192412	-14.57343158629807	11.599735955248171
chr34_mat	0	4456870	chr34_mat	-19.305482323595477	18.36202396577116	12.162893316802583
chr35_mat	0	4884911	chr35_mat	21.73424751380368	-14.914151807867492	12.919751795393404
chr36_mat	0	4818805	chr36_mat	27.15664581380743	-18.281472101473906	12.46404611656606
chr37_mat	0	7863776	chr37_mat	39.97387375750727	-24.792764939933296	-15.740713070001016
chrW_mat	0	33777440	chrW_mat	118.97581580567144	38.98568055262467	-24.623456937563006
chrZ_pat	0	82218670	chrZ_pat	456.4645257742923	144.94682650240998	126.43639767096697
