chrom	start	end	weight
chr1_pat	0	200000	
chr1_pat	200000	400000	
chr1_pat	400000	600000	
chr1_pat	600000	800000	
chr1_pat	800000	1000000	
chr1_pat	1000000	1200000	0.00975429
chr1_pat	1200000	1400000	0.0141163
chr1_pat	1400000	1600000	0.0140918
chr1_pat	1600000	1800000	
chr1_pat	1800000	2000000	
chr1_pat	2000000	2200000	
chr1_pat	2200000	2400000	
chr1_pat	2400000	2600000	0.0137266
chr1_pat	2600000	2800000	0.0118152
chr1_pat	2800000	3000000	0.00954297
chr1_pat	3000000	3200000	0.00977225
chr1_pat	3200000	3400000	0.0108596
chr1_pat	3400000	3600000	0.0124566
chr1_pat	3600000	3800000	0.0130321
chr1_pat	3800000	4000000	0.0128039
chr1_pat	4000000	4200000	0.0111778
chr1_pat	4200000	4400000	0.00870724
chr1_pat	4400000	4600000	0.00926996
chr1_pat	4600000	4800000	0.0109942
chr1_pat	4800000	5000000	0.0100164
chr1_pat	5000000	5200000	0.00945817
chr1_pat	5200000	5400000	0.0102
chr1_pat	5400000	5600000	0.00885601
chr1_pat	5600000	5800000	0.0106714
chr1_pat	5800000	6000000	0.0110147
chr1_pat	6000000	6200000	0.0111528
chr1_pat	6200000	6400000	0.011091
chr1_pat	6400000	6600000	0.0105274
chr1_pat	6600000	6800000	0.0109402
chr1_pat	6800000	7000000	0.0106263
chr1_pat	7000000	7200000	0.0105607
chr1_pat	7200000	7400000	0.0108283
chr1_pat	7400000	7600000	0.0104115
chr1_pat	7600000	7800000	0.011582
chr1_pat	7800000	8000000	0.0118464
chr1_pat	8000000	8200000	0.0121371
chr1_pat	8200000	8400000	0.0117034
chr1_pat	8400000	8600000	0.0110819
chr1_pat	8600000	8800000	0.01327
chr1_pat	8800000	9000000	0.0129697
chr1_pat	9000000	9200000	0.0106578
chr1_pat	9200000	9400000	0.0116414
chr1_pat	9400000	9600000	0.0116729
chr1_pat	9600000	9800000	0.0117054
chr1_pat	9800000	10000000	0.0114815
chr1_pat	10000000	10200000	0.0132988
chr1_pat	10200000	10400000	0.0123114
chr1_pat	10400000	10600000	0.0126998
chr1_pat	10600000	10800000	0.0118599
chr1_pat	10800000	11000000	0.0111591
chr1_pat	11000000	11200000	0.0117485
chr1_pat	11200000	11400000	0.010824
chr1_pat	11400000	11600000	0.0105511
chr1_pat	11600000	11800000	0.0125252
chr1_pat	11800000	12000000	0.0114914
chr1_pat	12000000	12200000	0.012114
chr1_pat	12200000	12400000	0.0116136
chr1_pat	12400000	12600000	0.0126411
chr1_pat	12600000	12800000	0.0122757
chr1_pat	12800000	13000000	0.0119401
chr1_pat	13000000	13200000	0.0129554
chr1_pat	13200000	13400000	0.0129332
chr1_pat	13400000	13600000	0.013627
chr1_pat	13600000	13800000	0.0128907
chr1_pat	13800000	14000000	0.0119331
chr1_pat	14000000	14200000	0.012326
chr1_pat	14200000	14400000	0.0139452
chr1_pat	14400000	14600000	0.0173368
chr1_pat	14600000	14800000	0.0158635
chr1_pat	14800000	15000000	0.0118268
chr1_pat	15000000	15200000	0.00983565
chr1_pat	15200000	15400000	0.00957097
chr1_pat	15400000	15600000	0.0127503
chr1_pat	15600000	15800000	0.0131286
chr1_pat	15800000	16000000	0.0126357
chr1_pat	16000000	16200000	0.0130565
chr1_pat	16200000	16400000	0.0131978
chr1_pat	16400000	16600000	0.0105684
chr1_pat	16600000	16800000	0.0139923
chr1_pat	16800000	17000000	0.0145242
chr1_pat	17000000	17200000	0.01348
chr1_pat	17200000	17400000	0.0104233
chr1_pat	17400000	17600000	0.012931
chr1_pat	17600000	17800000	0.0148998
chr1_pat	17800000	18000000	0.0159953
chr1_pat	18000000	18200000	0.0104721
chr1_pat	18200000	18400000	0.0119065
chr1_pat	18400000	18600000	0.00990864
chr1_pat	18600000	18800000	0.0143045
chr1_pat	18800000	19000000	0.0180856
chr1_pat	19000000	19200000	0.0194662
chr1_pat	19200000	19400000	
chr1_pat	19400000	19600000	
chr1_pat	19600000	19800000	
chr1_pat	19800000	20000000	
chr1_pat	20000000	20200000	
chr1_pat	20200000	20400000	
chr1_pat	20400000	20600000	
chr1_pat	20600000	20800000	
chr1_pat	20800000	21000000	
chr1_pat	21000000	21200000	
chr1_pat	21200000	21400000	
chr1_pat	21400000	21600000	
chr1_pat	21600000	21800000	
chr1_pat	21800000	22000000	0.0325038
chr1_pat	22000000	22200000	0.0284354
chr1_pat	22200000	22400000	0.0188511
chr1_pat	22400000	22600000	0.0187578
chr1_pat	22600000	22800000	0.0276528
chr1_pat	22800000	23000000	0.0211525
chr1_pat	23000000	23200000	0.01488
chr1_pat	23200000	23400000	0.0214966
chr1_pat	23400000	23600000	0.0232927
chr1_pat	23600000	23800000	0.0234635
chr1_pat	23800000	24000000	0.019779
chr1_pat	24000000	24200000	0.0224468
chr1_pat	24200000	24400000	0.0192973
chr1_pat	24400000	24600000	0.0200947
chr1_pat	24600000	24800000	0.0194349
chr1_pat	24800000	25000000	0.0148399
chr1_pat	25000000	25200000	0.0133045
chr1_pat	25200000	25400000	0.0156001
chr1_pat	25400000	25600000	0.0149328
chr1_pat	25600000	25800000	0.0128256
chr1_pat	25800000	26000000	0.0144178
chr1_pat	26000000	26200000	0.0164748
chr1_pat	26200000	26400000	0.0121526
chr1_pat	26400000	26600000	0.0175486
chr1_pat	26600000	26800000	
chr1_pat	26800000	27000000	0.0291056
chr1_pat	27000000	27200000	0.0205935
chr1_pat	27200000	27400000	0.0218996
chr1_pat	27400000	27600000	0.0162347
chr1_pat	27600000	27800000	0.0150359
chr1_pat	27800000	28000000	0.0112481
chr1_pat	28000000	28200000	0.0123459
chr1_pat	28200000	28400000	0.0122411
chr1_pat	28400000	28600000	0.0130054
chr1_pat	28600000	28800000	0.0134693
chr1_pat	28800000	29000000	0.0146631
chr1_pat	29000000	29200000	0.0176875
chr1_pat	29200000	29400000	0.014562
chr1_pat	29400000	29600000	0.0150239
chr1_pat	29600000	29800000	0.0128863
chr1_pat	29800000	30000000	0.0127752
chr1_pat	30000000	30200000	0.0163995
chr1_pat	30200000	30400000	0.0157589
chr1_pat	30400000	30600000	0.0157126
chr1_pat	30600000	30800000	0.0136305
chr1_pat	30800000	31000000	0.01483
chr1_pat	31000000	31200000	0.0101445
chr1_pat	31200000	31400000	0.0146977
chr1_pat	31400000	31600000	0.0215052
chr1_pat	31600000	31800000	0.0272785
chr1_pat	31800000	32000000	0.0240604
chr1_pat	32000000	32200000	0.0250183
chr1_pat	32200000	32400000	0.0188256
chr1_pat	32400000	32600000	0.0215514
chr1_pat	32600000	32800000	0.0157023
chr1_pat	32800000	33000000	0.0242686
chr1_pat	33000000	33200000	0.0174088
chr1_pat	33200000	33400000	0.0201749
chr1_pat	33400000	33600000	0.0170052
chr1_pat	33600000	33800000	0.0261606
chr1_pat	33800000	34000000	0.0232511
chr1_pat	34000000	34200000	0.0177011
chr1_pat	34200000	34400000	0.0176005
chr1_pat	34400000	34600000	0.0187595
chr1_pat	34600000	34800000	0.0131244
chr1_pat	34800000	35000000	0.0133381
chr1_pat	35000000	35200000	0.0180144
chr1_pat	35200000	35400000	0.0171091
chr1_pat	35400000	35600000	
chr1_pat	35600000	35800000	0.0230127
chr1_pat	35800000	36000000	0.0209506
chr1_pat	36000000	36200000	0.0173247
chr1_pat	36200000	36400000	0.0155069
chr1_pat	36400000	36600000	0.0163992
chr1_pat	36600000	36800000	0.0173797
chr1_pat	36800000	37000000	0.0224426
chr1_pat	37000000	37200000	0.0197882
chr1_pat	37200000	37400000	0.0241854
chr1_pat	37400000	37600000	0.024587
chr1_pat	37600000	37800000	0.013684
chr1_pat	37800000	38000000	0.0117086
chr1_pat	38000000	38200000	0.015457
chr1_pat	38200000	38400000	0.0179472
chr1_pat	38400000	38600000	0.0146305
chr1_pat	38600000	38800000	0.0180188
chr1_pat	38800000	39000000	0.0185256
chr1_pat	39000000	39200000	0.0188166
chr1_pat	39200000	39400000	0.0220324
chr1_pat	39400000	39600000	0.0250473
chr1_pat	39600000	39800000	0.0207566
chr1_pat	39800000	40000000	0.0171983
chr1_pat	40000000	40200000	0.0192542
chr1_pat	40200000	40400000	0.0175688
chr1_pat	40400000	40600000	0.019588
chr1_pat	40600000	40800000	0.0212702
chr1_pat	40800000	41000000	0.0196308
chr1_pat	41000000	41200000	0.0137211
chr1_pat	41200000	41400000	0.0161509
chr1_pat	41400000	41600000	0.0207585
chr1_pat	41600000	41800000	0.0171965
chr1_pat	41800000	42000000	0.0198388
chr1_pat	42000000	42200000	0.0244011
chr1_pat	42200000	42400000	0.0212485
chr1_pat	42400000	42600000	0.0257013
chr1_pat	42600000	42800000	0.0133443
chr1_pat	42800000	43000000	0.0149384
chr1_pat	43000000	43200000	0.0263265
chr1_pat	43200000	43400000	0.0202993
chr1_pat	43400000	43600000	0.0209622
chr1_pat	43600000	43800000	0.0181931
chr1_pat	43800000	44000000	0.019173
chr1_pat	44000000	44200000	0.0156896
chr1_pat	44200000	44400000	0.0373081
chr1_pat	44400000	44600000	0.0257197
chr1_pat	44600000	44800000	0.0213746
chr1_pat	44800000	45000000	0.0177243
chr1_pat	45000000	45200000	0.0168392
chr1_pat	45200000	45400000	0.017861
chr1_pat	45400000	45600000	0.0238045
chr1_pat	45600000	45800000	0.0163035
chr1_pat	45800000	46000000	
chr1_pat	46000000	46200000	0.0397542
chr1_pat	46200000	46400000	0.0313395
chr1_pat	46400000	46600000	0.0259306
chr1_pat	46600000	46800000	0.026952
chr1_pat	46800000	47000000	
chr1_pat	47000000	47200000	0.0261475
chr1_pat	47200000	47400000	0.0307097
chr1_pat	47400000	47600000	0.0126471
chr1_pat	47600000	47800000	0.0142614
chr1_pat	47800000	48000000	0.0183057
chr1_pat	48000000	48200000	0.0242565
chr1_pat	48200000	48400000	0.0213456
chr1_pat	48400000	48600000	0.0174497
chr1_pat	48600000	48800000	0.0220587
chr1_pat	48800000	49000000	0.0286063
chr1_pat	49000000	49200000	0.0301383
chr1_pat	49200000	49400000	0.0278938
chr1_pat	49400000	49600000	
chr1_pat	49600000	49800000	0.0266051
chr1_pat	49800000	50000000	0.0233035
chr1_pat	50000000	50200000	0.0470903
chr1_pat	50200000	50400000	0.025375
chr1_pat	50400000	50600000	0.0210017
chr1_pat	50600000	50800000	0.0211176
chr1_pat	50800000	51000000	0.0238741
chr1_pat	51000000	51200000	0.0226802
chr1_pat	51200000	51400000	0.0207324
chr1_pat	51400000	51600000	0.0226094
chr1_pat	51600000	51800000	0.0380437
chr1_pat	51800000	52000000	
chr1_pat	52000000	52200000	
chr1_pat	52200000	52400000	
chr1_pat	52400000	52600000	
chr1_pat	52600000	52800000	
chr1_pat	52800000	53000000	
chr1_pat	53000000	53200000	0.0478804
chr1_pat	53200000	53400000	0.0210339
chr1_pat	53400000	53600000	0.0363985
chr1_pat	53600000	53800000	0.0223011
chr1_pat	53800000	54000000	0.0258119
chr1_pat	54000000	54200000	0.0184091
chr1_pat	54200000	54400000	0.031573
chr1_pat	54400000	54600000	0.0159494
chr1_pat	54600000	54800000	0.0291828
chr1_pat	54800000	55000000	0.0200742
chr1_pat	55000000	55200000	0.0227207
chr1_pat	55200000	55400000	0.0228863
chr1_pat	55400000	55600000	0.0282133
chr1_pat	55600000	55800000	0.0384304
chr1_pat	55800000	56000000	
chr1_pat	56000000	56200000	
chr1_pat	56200000	56400000	0.0204845
chr1_pat	56400000	56600000	0.0229169
chr1_pat	56600000	56800000	0.0229181
chr1_pat	56800000	57000000	0.0414973
chr1_pat	57000000	57200000	0.0292327
chr1_pat	57200000	57400000	0.0255721
chr1_pat	57400000	57600000	0.0234086
chr1_pat	57600000	57800000	0.0167547
chr1_pat	57800000	58000000	0.011254
chr1_pat	58000000	58200000	0.0249341
chr1_pat	58200000	58400000	0.0250203
chr1_pat	58400000	58600000	0.0319982
chr1_pat	58600000	58800000	0.0212822
chr1_pat	58800000	59000000	0.0267445
chr1_pat	59000000	59200000	0.0177018
chr1_pat	59200000	59400000	0.0174273
chr1_pat	59400000	59600000	0.0176507
chr1_pat	59600000	59800000	0.0137676
chr1_pat	59800000	60000000	0.0115071
chr1_pat	60000000	60200000	0.0149817
chr1_pat	60200000	60400000	0.0127674
chr1_pat	60400000	60600000	0.0166136
chr1_pat	60600000	60800000	0.0104214
chr1_pat	60800000	61000000	0.0141246
chr1_pat	61000000	61200000	0.0103668
chr1_pat	61200000	61400000	0.0159278
chr1_pat	61400000	61600000	0.0272722
chr1_pat	61600000	61800000	0.0273362
chr1_pat	61800000	62000000	0.0150474
chr1_pat	62000000	62200000	0.0148506
chr1_pat	62200000	62400000	0.0126164
chr1_pat	62400000	62600000	0.0169334
chr1_pat	62600000	62800000	0.0201125
chr1_pat	62800000	63000000	0.0176569
chr1_pat	63000000	63200000	0.0194674
chr1_pat	63200000	63400000	0.0164643
chr1_pat	63400000	63600000	0.0159147
chr1_pat	63600000	63800000	0.0190217
chr1_pat	63800000	64000000	0.0206543
chr1_pat	64000000	64200000	0.0313501
chr1_pat	64200000	64400000	0.0261562
chr1_pat	64400000	64600000	0.0141478
chr1_pat	64600000	64800000	0.0200413
chr1_pat	64800000	65000000	0.024491
chr1_pat	65000000	65200000	0.017286
chr1_pat	65200000	65400000	0.0142176
chr1_pat	65400000	65600000	0.0176735
chr1_pat	65600000	65800000	0.01625
chr1_pat	65800000	66000000	0.0154744
chr1_pat	66000000	66200000	0.0131233
chr1_pat	66200000	66400000	0.0158017
chr1_pat	66400000	66600000	0.0131381
chr1_pat	66600000	66800000	0.0119426
chr1_pat	66800000	67000000	0.0156165
chr1_pat	67000000	67200000	0.0116523
chr1_pat	67200000	67400000	0.0159829
chr1_pat	67400000	67600000	0.0131721
chr1_pat	67600000	67800000	0.0115643
chr1_pat	67800000	68000000	0.0143371
chr1_pat	68000000	68200000	0.0134428
chr1_pat	68200000	68400000	0.0141954
chr1_pat	68400000	68600000	0.0120638
chr1_pat	68600000	68800000	0.0188854
chr1_pat	68800000	69000000	0.0114434
chr1_pat	69000000	69200000	0.0131403
chr1_pat	69200000	69400000	0.0149513
chr1_pat	69400000	69600000	0.0221414
chr1_pat	69600000	69800000	0.0238303
chr1_pat	69800000	70000000	0.0197669
chr1_pat	70000000	70200000	0.019708
chr1_pat	70200000	70400000	0.0105265
chr1_pat	70400000	70600000	0.0132208
chr1_pat	70600000	70800000	0.0126428
chr1_pat	70800000	71000000	0.0124364
chr1_pat	71000000	71200000	0.036138
chr1_pat	71200000	71400000	0.0157773
chr1_pat	71400000	71600000	0.020673
chr1_pat	71600000	71800000	0.015481
chr1_pat	71800000	72000000	0.0184332
chr1_pat	72000000	72200000	0.0246703
chr1_pat	72200000	72400000	0.0333507
chr1_pat	72400000	72600000	0.0175718
chr1_pat	72600000	72800000	0.0152298
chr1_pat	72800000	73000000	0.0156943
chr1_pat	73000000	73200000	0.0174658
chr1_pat	73200000	73400000	0.02239
chr1_pat	73400000	73600000	0.0150881
chr1_pat	73600000	73800000	0.0177864
chr1_pat	73800000	74000000	0.0181428
chr1_pat	74000000	74200000	0.0170224
chr1_pat	74200000	74400000	0.0191729
chr1_pat	74400000	74600000	0.0401441
chr1_pat	74600000	74800000	0.0171216
chr1_pat	74800000	75000000	0.0157736
chr1_pat	75000000	75200000	0.0145895
chr1_pat	75200000	75400000	0.0147966
chr1_pat	75400000	75600000	0.0131741
chr1_pat	75600000	75800000	0.0151594
chr1_pat	75800000	76000000	0.014683
chr1_pat	76000000	76200000	0.0140932
chr1_pat	76200000	76400000	0.0129729
chr1_pat	76400000	76600000	0.0183548
chr1_pat	76600000	76800000	0.0129563
chr1_pat	76800000	77000000	0.0110191
chr1_pat	77000000	77200000	0.0182142
chr1_pat	77200000	77400000	0.0160962
chr1_pat	77400000	77600000	0.0159047
chr1_pat	77600000	77800000	0.0134342
chr1_pat	77800000	78000000	0.0164779
chr1_pat	78000000	78200000	0.0181432
chr1_pat	78200000	78400000	0.0175539
chr1_pat	78400000	78600000	0.0122682
chr1_pat	78600000	78800000	0.0151236
chr1_pat	78800000	79000000	0.018812
chr1_pat	79000000	79200000	0.0183379
chr1_pat	79200000	79400000	0.0162687
chr1_pat	79400000	79600000	0.0157401
chr1_pat	79600000	79800000	0.0219963
chr1_pat	79800000	80000000	0.0302809
chr1_pat	80000000	80200000	0.0207503
chr1_pat	80200000	80400000	0.0178242
chr1_pat	80400000	80600000	0.0179482
chr1_pat	80600000	80800000	0.0159306
chr1_pat	80800000	81000000	0.0174151
chr1_pat	81000000	81200000	0.0127191
chr1_pat	81200000	81400000	0.0146917
chr1_pat	81400000	81600000	0.0153241
chr1_pat	81600000	81800000	0.0120422
chr1_pat	81800000	82000000	0.0120243
chr1_pat	82000000	82200000	0.0175504
chr1_pat	82200000	82400000	0.0185969
chr1_pat	82400000	82600000	0.0203518
chr1_pat	82600000	82800000	0.0134811
chr1_pat	82800000	83000000	0.0109586
chr1_pat	83000000	83200000	0.0107462
chr1_pat	83200000	83400000	0.0113644
chr1_pat	83400000	83600000	0.0191931
chr1_pat	83600000	83800000	0.0187746
chr1_pat	83800000	84000000	0.0147222
