chrom	start	end	weight
chr1_mat	0	100000	
chr1_mat	100000	200000	
chr1_mat	200000	300000	
chr1_mat	300000	400000	0.0161932
chr1_mat	400000	500000	0.00840431
chr1_mat	500000	600000	0.00782673
chr1_mat	600000	700000	0.00584658
chr1_mat	700000	800000	0.00687252
chr1_mat	800000	900000	0.00861299
chr1_mat	900000	1000000	0.00883976
chr1_mat	1000000	1100000	0.00520274
chr1_mat	1100000	1200000	0.00905792
chr1_mat	1200000	1300000	0.00975186
chr1_mat	1300000	1400000	0.0103068
chr1_mat	1400000	1500000	0.00980035
chr1_mat	1500000	1600000	0.00937122
chr1_mat	1600000	1700000	0.00906221
chr1_mat	1700000	1800000	0.0094512
chr1_mat	1800000	1900000	0.00911471
chr1_mat	1900000	2000000	0.00972458
chr1_mat	2000000	2100000	0.00932751
chr1_mat	2100000	2200000	0.00924023
chr1_mat	2200000	2300000	0.00951376
chr1_mat	2300000	2400000	0.00874482
chr1_mat	2400000	2500000	0.00850925
chr1_mat	2500000	2600000	0.00934023
chr1_mat	2600000	2700000	0.00873336
chr1_mat	2700000	2800000	0.00913461
chr1_mat	2800000	2900000	0.00717465
chr1_mat	2900000	3000000	0.00642862
chr1_mat	3000000	3100000	0.00735641
chr1_mat	3100000	3200000	0.00749023
chr1_mat	3200000	3300000	0.00817073
chr1_mat	3300000	3400000	0.00946122
chr1_mat	3400000	3500000	0.00952624
chr1_mat	3500000	3600000	0.0101549
chr1_mat	3600000	3700000	0.00938778
chr1_mat	3700000	3800000	0.00936862
chr1_mat	3800000	3900000	0.010328
chr1_mat	3900000	4000000	0.00925659
chr1_mat	4000000	4100000	0.00777498
chr1_mat	4100000	4200000	0.00910061
chr1_mat	4200000	4300000	0.00661992
chr1_mat	4300000	4400000	0.00588933
chr1_mat	4400000	4500000	0.00662819
chr1_mat	4500000	4600000	0.00663409
chr1_mat	4600000	4700000	0.00857687
chr1_mat	4700000	4800000	0.00775407
chr1_mat	4800000	4900000	0.00660374
chr1_mat	4900000	5000000	0.00922733
chr1_mat	5000000	5100000	0.0072327
chr1_mat	5100000	5200000	0.00723665
chr1_mat	5200000	5300000	0.00867176
chr1_mat	5300000	5400000	0.00767177
chr1_mat	5400000	5500000	0.00642012
chr1_mat	5500000	5600000	0.00800089
chr1_mat	5600000	5700000	0.00877023
chr1_mat	5700000	5800000	0.00873001
chr1_mat	5800000	5900000	0.00861627
chr1_mat	5900000	6000000	0.00868968
chr1_mat	6000000	6100000	0.00888169
chr1_mat	6100000	6200000	0.00837684
chr1_mat	6200000	6300000	0.00877264
chr1_mat	6300000	6400000	0.00831317
chr1_mat	6400000	6500000	0.00853859
chr1_mat	6500000	6600000	0.00819571
chr1_mat	6600000	6700000	0.00900135
chr1_mat	6700000	6800000	0.00817581
chr1_mat	6800000	6900000	0.00828938
chr1_mat	6900000	7000000	0.00838676
chr1_mat	7000000	7100000	0.00830207
chr1_mat	7100000	7200000	0.0082048
chr1_mat	7200000	7300000	0.00836357
chr1_mat	7300000	7400000	0.0085234
chr1_mat	7400000	7500000	0.00824693
chr1_mat	7500000	7600000	0.00843607
chr1_mat	7600000	7700000	0.00881682
chr1_mat	7700000	7800000	0.00860337
chr1_mat	7800000	7900000	0.0104187
chr1_mat	7900000	8000000	0.00865888
