chrom	start	end	name	eigval1	eigval2	eigval3
chr1_mat	0	115909749	chr1_mat	312.5292305268824	-96.64104207762912	89.43940121312852
chr1A_mat	0	72089520	chr1A_mat	198.44558376636655	-80.35655287559096	67.53827045018882
chr2_mat	0	152518735	chr2_mat	404.53944488742377	-168.13946693398634	142.57188159250714
chr3_mat	0	115612305	chr3_mat	289.57330641181625	99.66772091886332	-93.3496796920328
chr4_mat	0	73776267	chr4_mat	189.25849781084176	-45.79674950742182	45.07572376270273
chr4A_mat	0	19545315	chr4A_mat	44.32445104787788	12.136364670622896	-9.400132195453788
chr5_mat	0	65033001	chr5_mat	145.07965441353716	-51.262367421434206	48.831856065091145
chr6_mat	0	36968704	chr6_mat	88.25745208729403	20.88403561724315	-16.727429797280713
chr7_mat	0	39422672	chr7_mat	85.89598757055556	21.06556128685917	-18.787546700735227
chr8_mat	0	32653297	chr8_mat	74.66036127346821	20.051916935718165	15.461958043194526
chr9_mat	0	26132161	chr9_mat	68.64955988281018	15.906734482003468	-10.942937790162013
chr10_mat	0	20920522	chr10_mat	36.29087772307042	15.400687192894138	-10.701166578533922
chr11_mat	0	21676805	chr11_mat	57.40049237409615	19.00747020815509	-15.499387981687338
chr12_mat	0	20824288	chr12_mat	43.6145028519038	11.69393471134639	-8.661528574927244
chr13_mat	0	18440361	chr13_mat	45.22002246916253	12.513841948237511	-10.878243783007713
chr14_mat	0	16411571	chr14_mat	37.94352005852177	12.507606209599244	-12.137416249559227
chr15_mat	0	13831355	chr15_mat	24.16322209272288	7.557167016066013	-6.367086469824675
chr16_mat	0	5740876	chr16_mat	16.513897979124277	-11.237779245477556	6.267353371121918
chr17_mat	0	11378085	chr17_mat	21.870761748841954	10.678593970155697	-7.360305072378305
chr18_mat	0	11233222	chr18_mat	23.952143899534065	8.89663994689814	-8.213063061642393
chr19_mat	0	11169410	chr19_mat	21.826789177873817	9.138775135297374	-8.875632494178623
chr20_mat	0	15459785	chr20_mat	30.9064979109116	10.587850187454467	-8.476613888000758
chr21_mat	0	8001925	chr21_mat	9.2591921869977	5.439740015217566	-4.205865296045062
chr22_mat	0	5052704	chr22_mat	8.160234535669588	-4.14643944137501	3.2773978130438164
chr23_mat	0	6987744	chr23_mat	13.455793515358186	-8.208856857478752	6.487855016014817
chr24_mat	0	7809384	chr24_mat	12.702604340506998	7.649441357511462	-5.968106275739916
chr25_mat	0	8199455	chr25_mat	21.91743933328285	-14.118247027435997	13.517804046803493
chr26_mat	0	6902691	chr26_mat	5.234858824857139	3.521871381217361	-2.9075303484912958
chr27_mat	0	5843241	chr27_mat	6.330488761743102	4.148964506909883	-3.913227050177555
chr28_mat	0	6367150	chr28_mat	5.315365763198099	-3.0122055592593804	2.592764761889948
chr29_mat	0	5689316	chr29_mat	3.345771957451703	-1.764858411787246	1.6272758841697514
chr30_mat	0	10075530	chr30_mat	21.222241296319005	-15.887787535669013	9.039084282934086
chr31_mat	0	5620948	chr31_mat	14.969879929147753	-14.900651995401056	10.49200070819048
chr32_mat	0	5583733	chr32_mat	10.661296279635025	-10.430305531972621	8.258992444649886
chr33_mat	0	4246341	chr33_mat	6.481693776102594	-6.1172046746626005	3.896812794067033
chr34_mat	0	4456870	chr34_mat	9.428754120129902	-9.13898612121844	5.802663066509564
chr35_mat	0	4884911	chr35_mat	9.656333925450037	-7.122778826588043	5.593885392278069
chr36_mat	0	4818805	chr36_mat	12.458219441567639	-8.127672065447936	-6.154191156034494
chr37_mat	0	7863776	chr37_mat	19.116142688872955	-12.469998610111537	-9.044646896605926
chrW_mat	0	33777440	chrW_mat	49.0167758954155	16.768974959324336	-13.066228026549922
chrZ_pat	0	82218670	chrZ_pat	202.39632741145456	63.09141324731196	-50.69342938194033
