chrom	start	end	weight	E1	E2	E3
chr1_pat	0	50000				
chr1_pat	50000	100000				
chr1_pat	100000	150000				
chr1_pat	150000	200000				
chr1_pat	200000	250000				
chr1_pat	250000	300000				
chr1_pat	300000	350000				
chr1_pat	350000	400000				
chr1_pat	400000	450000				
chr1_pat	450000	500000				
chr1_pat	500000	550000				
chr1_pat	550000	600000				
chr1_pat	600000	650000				
chr1_pat	650000	700000				
chr1_pat	700000	750000				
chr1_pat	750000	800000				
chr1_pat	800000	850000				
chr1_pat	850000	900000				
chr1_pat	900000	950000				
chr1_pat	950000	1000000				
chr1_pat	1000000	1050000	0.030881445529972858	-3.580697872351222	2.130942788445184	-5.095560667627979
chr1_pat	1050000	1100000	0.013059479802132061	-4.303756511425722	2.874467241690862	-4.8047509133606034
chr1_pat	1100000	1150000	0.021092929366263988	-1.6984103045751535	-1.6960363135470364	-2.3909535193522102
chr1_pat	1150000	1200000	0.028038702613333074	-0.07774151522264025	-1.5385477179546232	-1.3313948879499078
chr1_pat	1200000	1250000	0.025004372437738426	-0.1618801900630232	-1.5790942808497221	-1.7647065776348156
chr1_pat	1250000	1300000	0.025913014797370376	0.35136700855342407	-0.5095038700398123	-0.9790756610804277
chr1_pat	1300000	1350000	0.026528624355410865	0.17460400448025232	-0.5152749846036158	-0.6436586499930962
chr1_pat	1350000	1400000	0.03051679323011952	0.5356360641891932	-0.19621679203767908	-0.24452198146488704
chr1_pat	1400000	1450000	0.025449311777714523	0.43313997585269304	-0.404282884067674	-1.3535013720178384
chr1_pat	1450000	1500000	0.025477501292389598	0.6620133687360452	0.6103867013496143	-0.8638794778954921
chr1_pat	1500000	1550000	0.025037285176863374	0.8988767635089947	0.20878943335479372	-0.5996071807854441
chr1_pat	1550000	1600000	0.033400972318884156	0.6681217762399163	0.5814551276481847	-0.2069938611898691
chr1_pat	1600000	1650000				
chr1_pat	1650000	1700000				
chr1_pat	1700000	1750000				
chr1_pat	1750000	1800000				
chr1_pat	1800000	1850000				
chr1_pat	1850000	1900000				
chr1_pat	1900000	1950000				
chr1_pat	1950000	2000000				
chr1_pat	2000000	2050000				
chr1_pat	2050000	2100000				
chr1_pat	2100000	2150000				
chr1_pat	2150000	2200000				
chr1_pat	2200000	2250000				
chr1_pat	2250000	2300000				
chr1_pat	2300000	2350000				
chr1_pat	2350000	2400000				
chr1_pat	2400000	2450000	0.04359107912903139	0.17634052290530053	-0.27242222319354953	-0.09230871727873573
chr1_pat	2450000	2500000	0.02298208326883358	0.42884228647754347	-0.14693162449498554	-0.7530254313204764
chr1_pat	2500000	2550000	0.02200477527322682	0.5231579909564142	-0.034071179640941	-0.6549146071536004
chr1_pat	2550000	2600000	0.02544409841877803	0.41727217508638775	0.2336978379481579	-0.7999255893132203
chr1_pat	2600000	2650000	0.02157269588179355	0.5482786293167099	0.11983841447642318	-0.42294657652383316
chr1_pat	2650000	2700000	0.022669030624766433	0.5102179779068424	-0.5710483854156023	-0.6186198754743999
chr1_pat	2700000	2750000	0.024171737746009423	0.33345633095751775	-0.5159781496029716	-0.49738224766075756
chr1_pat	2750000	2800000	0.021272374237287485	-0.26093536920346677	-1.5468880956136613	-0.9229285155637821
chr1_pat	2800000	2850000	0.020664881392462364	-1.233711228623756	-1.0966408107375158	-1.1006966720307827
chr1_pat	2850000	2900000	0.016312766985604736	-1.953061515817313	-0.5517006305084049	-2.4671388806182986
chr1_pat	2900000	2950000	0.017678800230515008	-1.6058535237033735	-0.6204413441404012	-1.9848577965671697
chr1_pat	2950000	3000000	0.01843203555521381	-3.1895756402298225	0.8742801507556228	-4.5120314058826345
chr1_pat	3000000	3050000	0.016065177258559434	-3.155583921321473	2.1259633294023956	-3.4249752129869564
chr1_pat	3050000	3100000	0.0215137660393705	-0.7973101963317103	-1.0983430027328982	-0.8835871185661366
chr1_pat	3100000	3150000	0.017550817134618903	-1.0466534555514213	-1.0566270675993992	-1.2906886311471184
chr1_pat	3150000	3200000	0.02000882086498609	-0.4577683757276794	-0.9512699538415228	-1.4200298167731005
chr1_pat	3200000	3250000	0.017068902863679892	-1.2043558349248422	-0.8722849347374528	-1.3261594730278319
chr1_pat	3250000	3300000	0.021879168602962067	0.23113183478105342	-0.6976831431021702	-0.29127425134071483
chr1_pat	3300000	3350000	0.02278282117577293	0.5924736903032259	0.1303353470052884	-0.14168709608730418
chr1_pat	3350000	3400000	0.023191403367664808	0.7487008241110236	0.03740288168672398	-0.39312207733118815
chr1_pat	3400000	3450000	0.023353873709507696	0.7698165629249888	0.33430074968052653	-0.27071932511923474
chr1_pat	3450000	3500000	0.020998568847178326	0.7595762575982737	0.27687814594584903	-0.2699710635914449
chr1_pat	3500000	3550000	0.02444061349515018	0.7041351189241433	0.317026068775209	-0.264056685351285
chr1_pat	3550000	3600000	0.024924047594379172	0.9103914487595067	0.7026516395203406	-0.2892663783832933
chr1_pat	3600000	3650000	0.024521469813268897	0.714018883118625	0.3774074870229567	-0.2005839636110308
chr1_pat	3650000	3700000	0.025233623225764286	0.6530914193528526	0.20164820918496637	-0.19670351807586262
chr1_pat	3700000	3750000	0.024295564373092913	0.491457041825048	-0.17967939330542115	-0.6878792203938862
chr1_pat	3750000	3800000	0.024829744849163574	0.5034642351559845	0.14669217079562444	-0.3200582046287091
chr1_pat	3800000	3850000	0.022832093736918687	0.4023498905981002	0.1347568271619006	-0.3811497500671401
chr1_pat	3850000	3900000	0.02714923305896416	0.2224839105673148	-0.7159350035207447	-0.11545942647807098
chr1_pat	3900000	3950000	0.022604681225118183	-0.4923087964234927	-0.7365719171752344	-0.7542782304141082
chr1_pat	3950000	4000000	0.02381392834772164	0.08367639927520519	-1.1584971377755282	-0.3022213441594373
chr1_pat	4000000	4050000	0.021110974549542964	-0.3927025953933358	-1.0944411990909844	-0.6554401265216354
chr1_pat	4050000	4100000	0.01865116966368139	-1.3667460106863512	-0.5275636896510707	-1.7568263588586024
chr1_pat	4100000	4150000	0.020754529783457445	-0.03257326007675596	-0.8131905393092693	-0.7862289690609191
chr1_pat	4150000	4200000	0.023427426430158372	-0.2946561447047038	-1.3053848166566593	-0.8780028309875313
chr1_pat	4200000	4250000	0.01736613649470395	-1.2469843574828732	-0.5687114482441615	-1.4524909402951955
chr1_pat	4250000	4300000	0.01902188320430604	-2.0649061318796518	0.33328682666844484	-0.9812171703191787
chr1_pat	4300000	4350000	0.017413698558539675	-2.165151409826715	0.31396428370105495	-1.8143703656961783
chr1_pat	4350000	4400000	0.013770920415657752	-3.154010732423092	2.11298318807367	-3.367377981334347
chr1_pat	4400000	4450000	0.014322330007408918	-2.1451213188069165	1.3018844311777686	-1.9523789751755434
chr1_pat	4450000	4500000	0.018805078880942735	-2.345904051057286	1.2189038264083496	-2.0247904763064235
chr1_pat	4500000	4550000	0.01670182861577004	-2.220660616992792	0.9656925115665105	-1.8871389912659573
chr1_pat	4550000	4600000	0.01837138652651496	-1.635739443284193	0.514018896329656	-0.5643240540171245
chr1_pat	4600000	4650000	0.022871930958300847	-0.8499553558412939	-1.00177086240254	-0.9456176827861769
chr1_pat	4650000	4700000	0.02110775820818824	-1.7862891149277271	-0.35918755051421447	-1.7059587695320921
chr1_pat	4700000	4750000	0.020878522964308154	-0.4542407768612064	-0.8418391462236023	-0.09704835264664866
chr1_pat	4750000	4800000	0.0188777049062301	-1.3487349180135122	-0.3680128677045391	-1.0217657648151324
chr1_pat	4800000	4850000	0.013859908956883661	-2.7570438095154	1.536094279348566	-2.1815994340723086
chr1_pat	4850000	4900000	0.022400841479940665	-0.34137611885017627	-1.0439085829875605	-0.3151759691612267
chr1_pat	4900000	4950000	0.02267433231574274	-0.09212636510080247	-0.9116531291696313	-0.5698682988388534
chr1_pat	4950000	5000000	0.023101072577380314	0.17910062552040484	-0.97566082989197	-0.5564917602579031
chr1_pat	5000000	5050000	0.021180925900190297	-0.532369840980121	-0.7323353909266418	-0.16451168262425336
chr1_pat	5050000	5100000	0.016583414891805166	-1.991842052459617	0.33570932402535003	-1.5798250875204165
chr1_pat	5100000	5150000	0.015419904881248215	-2.034385619989807	0.22205044235308338	-1.8312141378564246
chr1_pat	5150000	5200000	0.022131053197906942	0.13969233188225827	-0.5684032385682805	-0.3509655135142793
chr1_pat	5200000	5250000	0.023463330474914182	0.20756404788212057	-0.5138698390009069	-0.045594210357759665
chr1_pat	5250000	5300000	0.01758361827282352	-0.8754115531755561	-0.3792517079376563	-0.5483973501735151
chr1_pat	5300000	5350000	0.016519924713607748	-1.4480938787999607	-0.6427197672699551	-1.7048258094534494
chr1_pat	5350000	5400000	0.019461403783125154	-1.2216452352168317	-0.2297843888613871	-1.4569246924612018
chr1_pat	5400000	5450000	0.015718470310861696	-1.7721162974715574	0.33378434026778697	-1.2478167012026686
chr1_pat	5450000	5500000	0.015271187907588035	-1.862942069107728	0.32568417526805427	-1.593976133666219
chr1_pat	5500000	5550000	0.018305833494813843	-0.6183444833690626	-1.0731443979531154	-1.0527573006168645
chr1_pat	5550000	5600000	0.019859242195631108	0.1576573300516709	-0.5271796641943007	-0.3815702170594582
chr1_pat	5600000	5650000	0.019505757126060848	0.6405845637580839	0.47580516674049383	0.06258858584111465
chr1_pat	5650000	5700000	0.021427976581457446	0.7183794971382009	0.3905817481612657	0.0001906790530717024
chr1_pat	5700000	5750000	0.021434491455355226	0.7608590698088731	0.6355997507642803	0.12898777921124227
chr1_pat	5750000	5800000	0.01869500114405748	0.6107547308216971	0.27950933850599147	-0.06187763458702111
chr1_pat	5800000	5850000	0.019719129869583525	0.7009968382484536	0.3184947893834359	-0.0766360110069988
chr1_pat	5850000	5900000	0.02052915403477468	0.5756559756840601	0.09997694217221621	0.002700090863217362
