Supplementary Table 9. Classification of Zebra Finch chromosomes based on sequence and structure. ,,,,,,,,,,,
Idx,Name,Size,Chr_type,Classification_size,Dot,TCHEST,Genes,Repeats,Minisatellite,GC%,Methylation%
1,chr1_pat,115996361,Submetacentric,Macro,FALSE,Absent,2500,23471,6763,39.65,46.68
2,chr1A_pat,72373967,Submetacentric,Macro,FALSE,Absent,1898,12577,5712,40.24,45
3,chr2_pat,152562993,Metacentric,Macro,FALSE,Absent,3259,28127,7950,39.4,49.37
4,chr3_pat,115134639,Submetacentric,Macro,FALSE,Absent,2687,20268,5730,39.94,47.16
5,chr4_pat,73325478,Submetacentric,Macro,FALSE,Absent,1734,13554,5785,39.84,47.01
6,chr4A_pat,19525173,Telocentric,Micro,FALSE,Relaxed,623,3364,9919,44.17,38.63
7,chr5_pat,63896914,Submetacentric,Macro,FALSE,Absent,1830,11216,15289,41.47,44.79
8,chr6_pat,37036084,Telocentric,Macro,FALSE,Absent,964,5702,4517,42.44,45.97
9,chr7_pat,39386660,Submetacentric,Macro,FALSE,Absent,1031,5801,4568,41.73,47.86
10,chr8_pat,32694906,Submetacentric,Macro,FALSE,Absent,994,5335,4106,42.85,48.67
11,chr9_pat,26241639,Telocentric,Micro,FALSE,Relaxed,841,4147,18014,43.69,44.81
12,chr10_pat,20761298,Telocentric,Micro,FALSE,Relaxed,737,2618,8217,43.68,40.91
13,chr11_pat,21694367,Telocentric,Micro,FALSE,Relaxed,632,3340,25628,43.55,47.83
14,chr12_pat,20770244,Telocentric,Micro,FALSE,Relaxed,645,3198,8199,44.21,42.58
15,chr13_pat,18838779,Telocentric,Micro,FALSE,Relaxed,619,3408,6565,45.79,46.14
16,chr14_pat,16369598,Telocentric,Micro,FALSE,Relaxed,670,2945,5394,45.66,40.73
17,chr15_pat,13859831,Telocentric,Micro,FALSE,Relaxed,591,2493,8040,46.77,37.01
18,chr16_pat,4801875,Telocentric,Micro,TRUE,Strict,246,4531,6989,52.56,73.66
19,chr17_pat,11415815,Telocentric,Micro,FALSE,Relaxed,453,2668,8309,48.74,41.77
20,chr18_pat,11267241,Telocentric,Micro,FALSE,Relaxed,505,2498,6631,47.85,39.78
21,chr19_pat,11183127,Telocentric,Micro,FALSE,Relaxed,509,2500,12646,47.63,41.27
22,chr20_pat,15338504,Telocentric,Micro,FALSE,Relaxed,599,3395,11272,47.09,40.35
23,chr21_pat,7956264,Telocentric,Micro,FALSE,Relaxed,418,2254,19454,48.79,45.01
24,chr22_pat,5320397,Telocentric,Micro,FALSE,Relaxed,309,2198,7927,52.14,49.54
25,chr23_pat,6983608,Telocentric,Micro,FALSE,Relaxed,349,2645,16928,51.78,41.09
26,chr24_pat,7804404,Telocentric,Micro,FALSE,Relaxed,314,2686,17157,49.74,45.28
27,chr25_pat,6891618,Telocentric,Micro,TRUE,Strict,642,4559,15707,53.96,59.91
28,chr26_pat,7010313,Telocentric,Micro,FALSE,Relaxed,388,2618,16539,52.44,44.23
29,chr27_pat,5914140,Telocentric,Micro,FALSE,Relaxed,396,2420,19958,53.43,42.52
30,chr28_pat,6369381,Telocentric,Micro,FALSE,Relaxed,435,2681,14957,52.99,42.65
31,chr29_pat,6145158,Telocentric,Micro,TRUE,Strict,510,4168,13966,54.77,53.41
32,chr30_pat,9417815,Telocentric,Micro,TRUE,Strict,549,11511,41027,53.79,61.23
33,chr31_pat,5343098,Telocentric,Micro,TRUE,Strict,457,4248,13482,56.23,59.35
34,chr32_pat,5573168,Telocentric,Micro,TRUE,Strict,359,4860,13391,52.86,69.75
35,chr33_pat,4788276,Telocentric,Micro,TRUE,Strict,306,4342,6844,52.82,69.83
36,chr34_pat,5771162,Telocentric,Micro,TRUE,Strict,367,5078,29067,53.19,66.05
37,chr35_pat,4908640,Telocentric,Micro,TRUE,Strict,339,4130,9541,52.89,72.08
38,chr36_pat,5017237,Telocentric,Micro,TRUE,Strict,181,5819,9717,51.34,67.3
39,chr37_pat,5877964,Telocentric,Micro,TRUE,Strict,278,5371,21559,53.19,61.59
40,chr1_mat,115909749,Submetacentric,Macro,FALSE,Absent,2481,23357,6627,39.65,46.41
41,chr1A_mat,72089520,Submetacentric,Macro,FALSE,Absent,1883,12419,4938,40.17,44.48
42,chr2_mat,152518735,Metacentric,Macro,FALSE,Absent,3232,27770,7930,39.4,49.37
43,chr3_mat,115612305,Submetacentric,Macro,FALSE,Absent,2692,20647,5766,39.98,47.22
44,chr4_mat,73776267,Submetacentric,Macro,FALSE,Absent,1692,14347,5996,39.91,48.24
45,chr4A_mat,19545315,Telocentric,Micro,FALSE,Relaxed,628,3353,9563,44.19,38.75
46,chr5_mat,65033001,Acrocentric,Macro,FALSE,Absent,1817,11208,5010,41.7,49
47,chr6_mat,36968704,Telocentric,Macro,FALSE,Absent,965,5725,5627,42.44,46.52
48,chr7_mat,39422672,Submetacentric,Macro,FALSE,Absent,1037,5905,15266,41.74,48.54
49,chr8_mat,32653297,Submetacentric,Macro,FALSE,Absent,1014,5332,4076,42.84,48.88
50,chr9_mat,26132161,Telocentric,Micro,FALSE,Relaxed,808,4080,18021,43.64,43.65
51,chr10_mat,20920522,Telocentric,Micro,FALSE,Relaxed,725,2681,4809,43.76,41.81
52,chr11_mat,21676805,Telocentric,Micro,FALSE,Relaxed,654,3368,25734,43.54,47.74
53,chr12_mat,20824288,Telocentric,Micro,FALSE,Relaxed,660,3301,4758,44.2,43.07
54,chr13_mat,18440361,Telocentric,Micro,FALSE,Relaxed,620,3569,6417,45.63,38.94
55,chr14_mat,16411571,Telocentric,Micro,FALSE,Relaxed,650,2926,5491,45.66,40.53
56,chr15_mat,13831355,Telocentric,Micro,FALSE,Relaxed,594,2502,8207,46.74,37.27
57,chr16_mat,5740876,Telocentric,Micro,TRUE,Strict,287,5970,5671,52.36,74.17
58,chr17_mat,11378085,Telocentric,Micro,FALSE,Relaxed,452,2635,8258,48.73,41.37
59,chr18_mat,11233222,Telocentric,Micro,FALSE,Relaxed,482,2537,6550,47.84,39.66
60,chr19_mat,11169410,Telocentric,Micro,FALSE,Relaxed,516,2451,12940,47.62,40.95
61,chr20_mat,15459785,Telocentric,Micro,FALSE,Relaxed,588,3351,14235,47.19,41.5
62,chr21_mat,8001925,Telocentric,Micro,FALSE,Relaxed,419,2258,20883,48.81,45.56
63,chr22_mat,5052704,Telocentric,Micro,FALSE,Relaxed,302,2116,7984,52.03,47.98
64,chr23_mat,6987744,Telocentric,Micro,FALSE,Relaxed,358,2622,16326,51.79,41.11
65,chr24_mat,7809384,Telocentric,Micro,FALSE,Relaxed,303,2685,17447,49.75,45.37
66,chr25_mat,8199455,Telocentric,Micro,TRUE,Strict,687,5624,21199,53.42,61.19
67,chr26_mat,6902691,Telocentric,Micro,FALSE,Relaxed,398,2500,17968,52.41,43.32
68,chr27_mat,5843241,Telocentric,Micro,FALSE,Relaxed,430,2474,29289,53.42,41.74
69,chr28_mat,6367150,Telocentric,Micro,FALSE,Relaxed,430,2711,14202,52.99,42.44
70,chr29_mat,5689316,Telocentric,Micro,TRUE,Strict,452,3875,5865,54.93,51.51
71,chr30_mat,10075530,Telocentric,Micro,TRUE,Strict,550,11901,40881,53.82,63.03
72,chr31_mat,5620948,Telocentric,Micro,TRUE,Strict,456,4190,17798,56.16,61.82
73,chr32_mat,5583733,Telocentric,Micro,TRUE,Strict,321,4763,17921,52.97,69.27
74,chr33_mat,4246341,Telocentric,Micro,TRUE,Strict,283,3914,23525,52.66,68.94
75,chr34_mat,4456870,Telocentric,Micro,TRUE,Strict,323,4080,9822,53.9,64.48
76,chr35_mat,4884911,Telocentric,Micro,TRUE,Strict,323,4101,7513,52.87,73.24
77,chr36_mat,4818805,Telocentric,Micro,TRUE,Strict,171,5814,7557,51.13,64.82
78,chr37_mat,7763776,Telocentric,Micro,TRUE,Strict,353,7700,18852,53.2,61.91
79,chrW_mat,33777440,Acrocentric,Macro,FALSE,Absent,392,25607,5452,47.95,82.61
80,chrZ_pat,82003670,Submetacentric,Macro,FALSE,Absent,1923,23731,5987,40.11,60.02
