chrom	start	end	weight
chr1_pat	0	200000	
chr1_pat	200000	400000	
chr1_pat	400000	600000	0.00586636
chr1_pat	600000	800000	0.00464654
chr1_pat	800000	1000000	0.00618153
chr1_pat	1000000	1200000	0.00456909
chr1_pat	1200000	1400000	0.0072726
chr1_pat	1400000	1600000	0.00707052
chr1_pat	1600000	1800000	0.00666269
chr1_pat	1800000	2000000	0.00692818
chr1_pat	2000000	2200000	0.00677024
chr1_pat	2200000	2400000	0.0066728
chr1_pat	2400000	2600000	0.00654705
chr1_pat	2600000	2800000	0.0064201
chr1_pat	2800000	3000000	0.00516206
chr1_pat	3000000	3200000	0.00522537
chr1_pat	3200000	3400000	0.00613454
chr1_pat	3400000	3600000	0.0070201
chr1_pat	3600000	3800000	0.00682553
chr1_pat	3800000	4000000	0.00718284
chr1_pat	4000000	4200000	0.00608069
chr1_pat	4200000	4400000	0.00448032
chr1_pat	4400000	4600000	0.00487022
chr1_pat	4600000	4800000	0.00610637
chr1_pat	4800000	5000000	0.00539037
chr1_pat	5000000	5200000	0.00516972
chr1_pat	5200000	5400000	0.00596045
chr1_pat	5400000	5600000	0.00518468
chr1_pat	5600000	5800000	0.00630565
chr1_pat	5800000	6000000	0.00630103
chr1_pat	6000000	6200000	0.00633547
chr1_pat	6200000	6400000	0.00642232
chr1_pat	6400000	6600000	0.00612869
chr1_pat	6600000	6800000	0.00616694
chr1_pat	6800000	7000000	0.00607899
chr1_pat	7000000	7200000	0.0060798
chr1_pat	7200000	7400000	0.00619102
chr1_pat	7400000	7600000	0.00613614
chr1_pat	7600000	7800000	0.00640552
chr1_pat	7800000	8000000	0.0064841
chr1_pat	8000000	8200000	0.00634059
chr1_pat	8200000	8400000	0.0063276
chr1_pat	8400000	8600000	0.00609598
chr1_pat	8600000	8800000	0.00653419
chr1_pat	8800000	9000000	0.00622546
chr1_pat	9000000	9200000	0.00575673
chr1_pat	9200000	9400000	0.00639945
chr1_pat	9400000	9600000	0.00624521
chr1_pat	9600000	9800000	0.00611411
chr1_pat	9800000	10000000	0.00577068
chr1_pat	10000000	10200000	0.00660991
chr1_pat	10200000	10400000	0.0063881
chr1_pat	10400000	10600000	0.00650338
chr1_pat	10600000	10800000	0.00644383
chr1_pat	10800000	11000000	0.00636194
chr1_pat	11000000	11200000	0.00626417
chr1_pat	11200000	11400000	0.00607814
chr1_pat	11400000	11600000	0.00609022
chr1_pat	11600000	11800000	0.00646256
chr1_pat	11800000	12000000	0.00609032
chr1_pat	12000000	12200000	0.00630172
chr1_pat	12200000	12400000	0.00620974
chr1_pat	12400000	12600000	0.00649266
chr1_pat	12600000	12800000	0.00637805
chr1_pat	12800000	13000000	0.00637462
chr1_pat	13000000	13200000	0.00655797
chr1_pat	13200000	13400000	0.006612
chr1_pat	13400000	13600000	0.00662751
chr1_pat	13600000	13800000	0.00669494
chr1_pat	13800000	14000000	0.00657579
chr1_pat	14000000	14200000	0.00592867
chr1_pat	14200000	14400000	0.00604276
chr1_pat	14400000	14600000	0.00833834
chr1_pat	14600000	14800000	0.00782904
chr1_pat	14800000	15000000	0.00493504
chr1_pat	15000000	15200000	0.00478186
chr1_pat	15200000	15400000	0.00467505
chr1_pat	15400000	15600000	0.00640402
chr1_pat	15600000	15800000	0.00701716
chr1_pat	15800000	16000000	0.0068406
chr1_pat	16000000	16200000	0.00668798
chr1_pat	16200000	16400000	0.00678163
chr1_pat	16400000	16600000	0.00560064
chr1_pat	16600000	16800000	0.00697996
chr1_pat	16800000	17000000	0.00700908
chr1_pat	17000000	17200000	0.00679844
chr1_pat	17200000	17400000	0.00501733
chr1_pat	17400000	17600000	0.00691676
chr1_pat	17600000	17800000	0.0079317
chr1_pat	17800000	18000000	0.00736437
chr1_pat	18000000	18200000	0.00519182
chr1_pat	18200000	18400000	0.00541804
chr1_pat	18400000	18600000	0.00424353
chr1_pat	18600000	18800000	0.0059552
chr1_pat	18800000	19000000	0.0082457
chr1_pat	19000000	19200000	0.00705667
chr1_pat	19200000	19400000	0.00499394
chr1_pat	19400000	19600000	0.00523776
chr1_pat	19600000	19800000	0.00877287
chr1_pat	19800000	20000000	
chr1_pat	20000000	20200000	
chr1_pat	20200000	20400000	
chr1_pat	20400000	20600000	
chr1_pat	20600000	20800000	
chr1_pat	20800000	21000000	0.0112261
chr1_pat	21000000	21200000	0.00760991
chr1_pat	21200000	21400000	0.00519852
chr1_pat	21400000	21600000	0.00772418
chr1_pat	21600000	21800000	0.00682208
chr1_pat	21800000	22000000	0.00514631
chr1_pat	22000000	22200000	0.00578337
chr1_pat	22200000	22400000	0.00611268
chr1_pat	22400000	22600000	0.00628623
chr1_pat	22600000	22800000	0.00734553
chr1_pat	22800000	23000000	0.00669396
chr1_pat	23000000	23200000	0.00629605
chr1_pat	23200000	23400000	0.00815433
chr1_pat	23400000	23600000	0.00800625
chr1_pat	23600000	23800000	0.00767046
chr1_pat	23800000	24000000	0.00778376
chr1_pat	24000000	24200000	0.00789506
chr1_pat	24200000	24400000	0.00777851
chr1_pat	24400000	24600000	0.00793701
chr1_pat	24600000	24800000	0.00850808
chr1_pat	24800000	25000000	0.00711182
chr1_pat	25000000	25200000	0.0059508
chr1_pat	25200000	25400000	0.00677599
chr1_pat	25400000	25600000	0.00600432
chr1_pat	25600000	25800000	0.00530088
chr1_pat	25800000	26000000	0.00585993
chr1_pat	26000000	26200000	0.00689005
chr1_pat	26200000	26400000	0.00583835
chr1_pat	26400000	26600000	0.00765004
chr1_pat	26600000	26800000	
chr1_pat	26800000	27000000	0.0113497
chr1_pat	27000000	27200000	0.00718848
chr1_pat	27200000	27400000	0.00724141
chr1_pat	27400000	27600000	0.0062536
chr1_pat	27600000	27800000	0.0058462
chr1_pat	27800000	28000000	0.00462745
chr1_pat	28000000	28200000	0.00500319
chr1_pat	28200000	28400000	0.00559959
chr1_pat	28400000	28600000	0.0058211
chr1_pat	28600000	28800000	0.00629987
chr1_pat	28800000	29000000	0.00472013
chr1_pat	29000000	29200000	0.00765434
chr1_pat	29200000	29400000	0.00597914
chr1_pat	29400000	29600000	0.00693101
chr1_pat	29600000	29800000	0.00581193
chr1_pat	29800000	30000000	0.00517765
chr1_pat	30000000	30200000	0.00764926
chr1_pat	30200000	30400000	0.00696538
chr1_pat	30400000	30600000	0.00730446
chr1_pat	30600000	30800000	0.00632562
chr1_pat	30800000	31000000	0.00705402
chr1_pat	31000000	31200000	0.00454489
chr1_pat	31200000	31400000	0.00668834
chr1_pat	31400000	31600000	0.00728792
chr1_pat	31600000	31800000	0.00713034
chr1_pat	31800000	32000000	0.00676472
chr1_pat	32000000	32200000	0.00641617
chr1_pat	32200000	32400000	0.0064774
chr1_pat	32400000	32600000	0.00623102
chr1_pat	32600000	32800000	0.00621317
chr1_pat	32800000	33000000	0.00645204
chr1_pat	33000000	33200000	0.00630598
chr1_pat	33200000	33400000	0.00564085
chr1_pat	33400000	33600000	0.00468761
chr1_pat	33600000	33800000	0.00581886
chr1_pat	33800000	34000000	0.00673075
chr1_pat	34000000	34200000	0.00658089
chr1_pat	34200000	34400000	0.00640315
chr1_pat	34400000	34600000	0.00673787
chr1_pat	34600000	34800000	0.00476757
chr1_pat	34800000	35000000	0.00650076
chr1_pat	35000000	35200000	0.0068903
chr1_pat	35200000	35400000	0.00636473
chr1_pat	35400000	35600000	0.00664547
chr1_pat	35600000	35800000	0.00637654
chr1_pat	35800000	36000000	0.00637562
chr1_pat	36000000	36200000	0.00669197
chr1_pat	36200000	36400000	0.00574704
chr1_pat	36400000	36600000	0.00648456
chr1_pat	36600000	36800000	0.00678353
chr1_pat	36800000	37000000	0.00722639
chr1_pat	37000000	37200000	0.00755658
chr1_pat	37200000	37400000	0.0069102
chr1_pat	37400000	37600000	0.00666273
chr1_pat	37600000	37800000	0.00571963
chr1_pat	37800000	38000000	0.005331
chr1_pat	38000000	38200000	0.00667019
chr1_pat	38200000	38400000	0.00670342
chr1_pat	38400000	38600000	0.00620605
chr1_pat	38600000	38800000	0.00640214
chr1_pat	38800000	39000000	0.00664909
chr1_pat	39000000	39200000	0.00616288
chr1_pat	39200000	39400000	0.00619604
chr1_pat	39400000	39600000	0.00610212
chr1_pat	39600000	39800000	0.0059115
chr1_pat	39800000	40000000	0.00633813
chr1_pat	40000000	40200000	0.00650918
chr1_pat	40200000	40400000	0.00586874
chr1_pat	40400000	40600000	0.00654933
chr1_pat	40600000	40800000	0.0067823
chr1_pat	40800000	41000000	0.00528889
chr1_pat	41000000	41200000	0.00568276
chr1_pat	41200000	41400000	0.00621701
chr1_pat	41400000	41600000	0.00685083
chr1_pat	41600000	41800000	0.00679501
chr1_pat	41800000	42000000	0.00648618
chr1_pat	42000000	42200000	0.00663432
chr1_pat	42200000	42400000	0.00647729
chr1_pat	42400000	42600000	0.00694202
chr1_pat	42600000	42800000	0.00594461
chr1_pat	42800000	43000000	0.005957
chr1_pat	43000000	43200000	0.00540936
chr1_pat	43200000	43400000	0.00679249
chr1_pat	43400000	43600000	0.00711434
chr1_pat	43600000	43800000	0.00646459
chr1_pat	43800000	44000000	0.00632115
chr1_pat	44000000	44200000	0.00640092
chr1_pat	44200000	44400000	0.00603112
chr1_pat	44400000	44600000	0.00651121
chr1_pat	44600000	44800000	0.0059791
chr1_pat	44800000	45000000	0.0058616
chr1_pat	45000000	45200000	0.00604488
chr1_pat	45200000	45400000	0.00609408
chr1_pat	45400000	45600000	0.00633595
chr1_pat	45600000	45800000	0.00617179
chr1_pat	45800000	46000000	0.0064456
chr1_pat	46000000	46200000	0.006252
chr1_pat	46200000	46400000	0.00585725
chr1_pat	46400000	46600000	0.00499735
chr1_pat	46600000	46800000	0.00670015
chr1_pat	46800000	47000000	0.0066481
chr1_pat	47000000	47200000	0.00666427
chr1_pat	47200000	47400000	0.0070782
chr1_pat	47400000	47600000	0.0046135
chr1_pat	47600000	47800000	0.00552107
chr1_pat	47800000	48000000	0.00602106
chr1_pat	48000000	48200000	0.00565251
chr1_pat	48200000	48400000	0.00564248
chr1_pat	48400000	48600000	0.00665284
chr1_pat	48600000	48800000	0.00694743
chr1_pat	48800000	49000000	0.00682337
chr1_pat	49000000	49200000	0.00573176
chr1_pat	49200000	49400000	0.00585308
chr1_pat	49400000	49600000	0.00609088
chr1_pat	49600000	49800000	0.0061093
chr1_pat	49800000	50000000	0.0059287
chr1_pat	50000000	50200000	0.00611698
chr1_pat	50200000	50400000	0.00618737
chr1_pat	50400000	50600000	0.00625883
chr1_pat	50600000	50800000	0.00628978
chr1_pat	50800000	51000000	0.00603721
chr1_pat	51000000	51200000	0.00628152
chr1_pat	51200000	51400000	0.00598457
chr1_pat	51400000	51600000	0.00592521
chr1_pat	51600000	51800000	0.00643719
chr1_pat	51800000	52000000	0.00638495
chr1_pat	52000000	52200000	0.00620736
chr1_pat	52200000	52400000	0.00605626
chr1_pat	52400000	52600000	0.00638083
chr1_pat	52600000	52800000	0.00624258
chr1_pat	52800000	53000000	0.00674753
chr1_pat	53000000	53200000	0.00609511
chr1_pat	53200000	53400000	0.00604859
chr1_pat	53400000	53600000	0.00617505
chr1_pat	53600000	53800000	0.00610191
chr1_pat	53800000	54000000	0.00644995
chr1_pat	54000000	54200000	0.00622547
chr1_pat	54200000	54400000	0.0067303
chr1_pat	54400000	54600000	0.00564675
chr1_pat	54600000	54800000	0.00617385
chr1_pat	54800000	55000000	0.00662629
chr1_pat	55000000	55200000	0.00616352
chr1_pat	55200000	55400000	0.00632838
chr1_pat	55400000	55600000	0.00609662
chr1_pat	55600000	55800000	0.00610707
chr1_pat	55800000	56000000	0.00615698
chr1_pat	56000000	56200000	0.00608295
chr1_pat	56200000	56400000	0.00606656
chr1_pat	56400000	56600000	0.0062095
chr1_pat	56600000	56800000	0.00615431
chr1_pat	56800000	57000000	0.00618803
chr1_pat	57000000	57200000	0.00636092
chr1_pat	57200000	57400000	0.00658737
chr1_pat	57400000	57600000	0.00712481
chr1_pat	57600000	57800000	0.00523634
chr1_pat	57800000	58000000	0.00464828
chr1_pat	58000000	58200000	0.00593414
chr1_pat	58200000	58400000	0.00581043
chr1_pat	58400000	58600000	0.0070604
chr1_pat	58600000	58800000	0.00664245
chr1_pat	58800000	59000000	0.00715008
chr1_pat	59000000	59200000	0.00706838
chr1_pat	59200000	59400000	0.0050965
chr1_pat	59400000	59600000	0.00578083
chr1_pat	59600000	59800000	0.00498965
chr1_pat	59800000	60000000	0.0054071
chr1_pat	60000000	60200000	0.00604616
chr1_pat	60200000	60400000	0.0059367
chr1_pat	60400000	60600000	0.00598657
chr1_pat	60600000	60800000	0.00465161
chr1_pat	60800000	61000000	0.0058816
chr1_pat	61000000	61200000	0.00453499
chr1_pat	61200000	61400000	0.00463332
chr1_pat	61400000	61600000	0.00554072
chr1_pat	61600000	61800000	0.00720364
chr1_pat	61800000	62000000	0.00593284
chr1_pat	62000000	62200000	0.00606648
chr1_pat	62200000	62400000	0.00579785
chr1_pat	62400000	62600000	0.00589506
chr1_pat	62600000	62800000	0.00721977
chr1_pat	62800000	63000000	0.00554195
chr1_pat	63000000	63200000	0.00701503
chr1_pat	63200000	63400000	0.00662804
chr1_pat	63400000	63600000	0.00637825
chr1_pat	63600000	63800000	0.00651287
chr1_pat	63800000	64000000	0.00623981
chr1_pat	64000000	64200000	0.00526371
chr1_pat	64200000	64400000	0.00621088
chr1_pat	64400000	64600000	0.00626638
chr1_pat	64600000	64800000	0.00635757
chr1_pat	64800000	65000000	0.00624089
chr1_pat	65000000	65200000	0.00591388
chr1_pat	65200000	65400000	0.00621325
chr1_pat	65400000	65600000	0.00645564
chr1_pat	65600000	65800000	0.00635505
chr1_pat	65800000	66000000	0.00652118
chr1_pat	66000000	66200000	0.0055722
chr1_pat	66200000	66400000	0.00549923
chr1_pat	66400000	66600000	0.00669149
chr1_pat	66600000	66800000	0.00577343
chr1_pat	66800000	67000000	0.00656818
chr1_pat	67000000	67200000	0.00543484
chr1_pat	67200000	67400000	0.00726351
chr1_pat	67400000	67600000	0.00545934
chr1_pat	67600000	67800000	0.00520822
chr1_pat	67800000	68000000	0.00617818
chr1_pat	68000000	68200000	0.00623776
chr1_pat	68200000	68400000	0.00651347
chr1_pat	68400000	68600000	0.00533338
chr1_pat	68600000	68800000	0.00717132
chr1_pat	68800000	69000000	0.00533035
chr1_pat	69000000	69200000	0.00599117
chr1_pat	69200000	69400000	0.0061646
chr1_pat	69400000	69600000	0.00639423
chr1_pat	69600000	69800000	0.00692911
chr1_pat	69800000	70000000	0.00663633
chr1_pat	70000000	70200000	0.00533646
chr1_pat	70200000	70400000	0.00517164
chr1_pat	70400000	70600000	0.00537424
chr1_pat	70600000	70800000	0.00597318
chr1_pat	70800000	71000000	0.00504061
chr1_pat	71000000	71200000	0.00712348
chr1_pat	71200000	71400000	0.00515077
chr1_pat	71400000	71600000	0.00603536
chr1_pat	71600000	71800000	0.00591914
chr1_pat	71800000	72000000	0.00608007
chr1_pat	72000000	72200000	0.00578478
chr1_pat	72200000	72400000	0.00593767
chr1_pat	72400000	72600000	0.00586686
chr1_pat	72600000	72800000	0.00599604
chr1_pat	72800000	73000000	0.00579981
chr1_pat	73000000	73200000	0.00575574
chr1_pat	73200000	73400000	0.00565125
chr1_pat	73400000	73600000	0.00534863
chr1_pat	73600000	73800000	0.00588712
chr1_pat	73800000	74000000	0.0061293
chr1_pat	74000000	74200000	0.00577281
chr1_pat	74200000	74400000	0.00631633
chr1_pat	74400000	74600000	0.00592828
chr1_pat	74600000	74800000	0.00637979
chr1_pat	74800000	75000000	0.00631107
chr1_pat	75000000	75200000	0.00556436
chr1_pat	75200000	75400000	0.00549142
chr1_pat	75400000	75600000	0.00551645
chr1_pat	75600000	75800000	0.00643535
chr1_pat	75800000	76000000	0.00659575
chr1_pat	76000000	76200000	0.00596336
chr1_pat	76200000	76400000	0.0059496
chr1_pat	76400000	76600000	0.00678705
chr1_pat	76600000	76800000	0.00585711
chr1_pat	76800000	77000000	0.0052111
chr1_pat	77000000	77200000	0.00756369
chr1_pat	77200000	77400000	0.00627505
chr1_pat	77400000	77600000	0.00635499
chr1_pat	77600000	77800000	0.00627933
chr1_pat	77800000	78000000	0.00615762
chr1_pat	78000000	78200000	0.00634499
chr1_pat	78200000	78400000	0.00639478
chr1_pat	78400000	78600000	0.00541284
chr1_pat	78600000	78800000	0.00560984
chr1_pat	78800000	79000000	0.00604102
chr1_pat	79000000	79200000	0.00583063
chr1_pat	79200000	79400000	0.0057921
chr1_pat	79400000	79600000	0.00562806
chr1_pat	79600000	79800000	0.00586644
chr1_pat	79800000	80000000	0.00580381
chr1_pat	80000000	80200000	0.00609008
chr1_pat	80200000	80400000	0.0054883
chr1_pat	80400000	80600000	0.00567247
chr1_pat	80600000	80800000	0.00590761
chr1_pat	80800000	81000000	0.00613784
chr1_pat	81000000	81200000	0.00545338
chr1_pat	81200000	81400000	0.00568469
chr1_pat	81400000	81600000	0.00640768
chr1_pat	81600000	81800000	0.00579604
chr1_pat	81800000	82000000	0.0050397
chr1_pat	82000000	82200000	0.00605938
chr1_pat	82200000	82400000	0.00621239
